# filename: gammat.txt 
# description: DMASS galaxy-galaxy lensing (gamma_t) signals 
#  
# if you use this file, cite these papers below:
# http://arxiv.org/abs/1906.01136 
# http://arxiv.org/abs/2104.11319 
#  
# source redshift bins 
# bin1 (0.20 < z_s < 0.43) 
# bin2 (0.43 < z_s < 0.63) 
# bin3 (0.63 < z_s < 0.90) 
# bin4 (0.90 < z_s < 1.30) 
#  
# ang[arcmin] 	 bin1 	 bin2 	 bin3 	 bin4
2.805046135754908576e+00 7.886742193718504967e-05 6.522840727952564132e-04 1.660511925726179889e-03 2.731837065033327228e-03
3.531343861556885511e+00 2.842597557610653056e-04 5.451029776262950217e-04 1.499881744731093635e-03 2.262311972847790530e-03
4.445698525097306231e+00 2.567787533148989452e-04 1.034479880440237684e-04 1.082755703593195557e-03 1.500633672174496967e-03
5.596802846420849242e+00 1.745361887155245481e-05 3.439744288369708542e-04 8.765207463427921375e-04 1.299361692171850180e-03
7.045957328161132516e+00 1.173494539265749483e-04 2.021175082834039758e-04 5.987688474154863718e-04 7.090107281202100023e-04
8.870334730839386950e+00 8.202071181418683476e-05 1.939743454653384072e-04 3.503068193253759807e-04 6.455448960541264715e-04
1.116708980377407912e+01 6.582829129431918527e-05 1.329986879371124436e-04 3.464134326475432307e-04 6.721906249276032906e-04
1.405853312975872704e+01 9.254325912364643402e-05 1.045950004433004229e-04 3.230030421317831805e-04 4.439714764004176317e-04
1.769864460960344488e+01 6.567102600274009707e-05 1.105918071283434754e-04 2.414571374601422703e-04 3.437041893398435689e-04
2.228127345334363341e+01 6.676096827549170536e-05 6.850407870150416925e-05 1.975292509051510925e-04 3.326589062517931175e-04
2.805046135754907866e+01 6.280799789759457751e-05 7.443140022695107403e-05 1.956634942962546435e-04 2.953396325124407382e-04
3.531343861556884889e+01 2.290309703397866851e-05 4.636698273467255212e-05 1.614380476121214615e-04 2.217125280269261866e-04
4.445698525097307652e+01 3.224127276759693287e-05 4.330498442673547918e-05 1.177996642657121802e-04 1.900093257344381099e-04
5.596802846420851552e+01 1.508747121970194199e-05 1.720745109660591364e-05 1.003854303787244209e-04 1.628363671699886381e-04
7.045957328161131272e+01 3.712219177333856394e-05 1.795063555179041094e-05 9.363174724997353968e-05 1.419057135843234166e-04
8.870334730839388726e+01 1.939234264387971023e-05 2.266444565160793069e-05 8.720222434677565014e-05 1.085358132242519668e-04
1.116708980377407130e+02 5.409192946941971211e-06 1.768800494266786115e-05 7.313734047282572889e-05 9.663569124013335516e-05
1.405853312975872882e+02 9.917588693983074154e-06 -8.138292813089456577e-06 4.887203959200417023e-05 1.000883561707803634e-04
1.769864460960343422e+02 9.071319540753815299e-06 3.382801462366461227e-06 4.171731456687538997e-05 6.611269933702208237e-05
2.228127345334363838e+02 7.960716073984045648e-06 -9.960627546618583663e-06 2.519897646465172898e-05 3.576922832784763904e-05
