#         patch                     x                        y                        z            
  0.0000000000000000e+00   2.9008822608691276e-01  -4.5641407587082711e-01  -8.4115100453647862e-01
  1.0000000000000000e+00   3.3117293406706383e-01  -5.1627908711136128e-01  -7.8979769052135851e-01
  2.0000000000000000e+00   3.3311731942185202e-01  -4.0698727174933896e-01  -8.5052584448400492e-01
  3.0000000000000000e+00   3.8651192632591203e-01  -5.0000746761022286e-01  -7.7498455671183841e-01
  4.0000000000000000e+00   3.9298885560412733e-01  -4.5580936107634462e-01  -7.9862230480129504e-01
  5.0000000000000000e+00   3.4757128270410997e-01  -4.6090211287830657e-01  -8.1655584364067380e-01
  6.0000000000000000e+00   4.4306633995966310e-01  -4.2621377355797307e-01  -7.8869134496596405e-01
  7.0000000000000000e+00   3.9398633896815005e-01  -4.0373585078897761e-01  -8.2569493609575584e-01
  8.0000000000000000e+00   3.9412441806152720e-01  -3.5151659847525141e-01  -8.4917726305174435e-01
  9.0000000000000000e+00   4.8159033993880629e-01  -3.8613303919679004e-01  -7.8674774897566446e-01
  1.0000000000000000e+01   4.5769766780145926e-01  -3.4513324223515129e-01  -8.1938750905377944e-01
  1.1000000000000000e+01   4.3702011828162313e-01  -3.0582828958754155e-01  -8.4586197071689839e-01
  1.2000000000000000e+01   4.9071084898027184e-01  -2.8294546237975154e-01  -8.2410237714240908e-01
  1.3000000000000000e+01   4.6259040422941622e-01  -2.4877560828386430e-01  -8.5095288626213528e-01
  1.4000000000000000e+01   5.1729064821669801e-01  -1.4634465966942559e-01  -8.4320437964575845e-01
  1.5000000000000000e+01   5.1743617546257725e-01  -3.4281453756123020e-01  -7.8405229236278684e-01
  1.6000000000000000e+01   5.4491706228879688e-01  -2.8556580980605217e-01  -7.8836385222583671e-01
  1.7000000000000000e+01   5.0217213296129182e-01  -2.1163708782232887e-01  -8.3847056712516188e-01
  1.8000000000000000e+01   5.4770104548063059e-01  -2.3335762398277732e-01  -8.0347232939817959e-01
  1.9000000000000000e+01   6.0209242650116235e-01  -2.0829100716811769e-01  -7.7077854555172554e-01
  2.0000000000000000e+01   6.7526273752120092e-01  -2.1952756066725049e-01  -7.0415047072544112e-01
  2.1000000000000000e+01   7.1031771723477499e-01  -2.3246068771726791e-01  -6.6438751436822852e-01
  2.2000000000000000e+01   5.6441316429856270e-01  -1.8070122938197611e-01  -8.0547181556298164e-01
  2.3000000000000000e+01   6.0837825936413970e-01  -1.5247382486448746e-01  -7.7886303434188808e-01
  2.4000000000000000e+01   5.1648186876164770e-01  -8.9038121020161731e-02  -8.5165644026548348e-01
  2.5000000000000000e+01   5.6807670096126073e-01  -1.2689945469223343e-01  -8.1313307042807215e-01
  2.6000000000000000e+01   6.5987728854574712e-01  -1.7494722716964459e-01  -7.3072254089166122e-01
  2.7000000000000000e+01   6.2136468622346663e-01  -9.1674063570984080e-02  -7.7813995706607675e-01
