# 
# meanr   jkmean  jkerr
2.805000000000000160e+00 1.035536230792560186e+00 1.445306400333874275e-03
3.531299999999999883e+00 1.029651746922411126e+00 1.345242456435163719e-03
4.445700000000000429e+00 1.026185067748884183e+00 1.177050678573839495e-03
5.596799999999999997e+00 1.022249159682883324e+00 1.207466967559098301e-03
7.046000000000000263e+00 1.018754753362773435e+00 1.106688763830059518e-03
8.870300000000000296e+00 1.016038200153747573e+00 1.140311099061037123e-03
1.116699999999999982e+01 1.013229265297784565e+00 1.061528521969012234e-03
1.405899999999999928e+01 1.011497413480678675e+00 1.038177226271170574e-03
1.769900000000000162e+01 1.009836043343872003e+00 1.045504194659775763e-03
2.228099999999999881e+01 1.007717966602240667e+00 1.063700013453765551e-03
2.805000000000000071e+01 1.006106335656712369e+00 1.056371054959090190e-03
3.531300000000000239e+01 1.004451956661654100e+00 1.056353152174623706e-03
4.445700000000000074e+01 1.003052812544886319e+00 1.004865559357597318e-03
5.596800000000000352e+01 1.002175085278472988e+00 1.008095686779809756e-03
7.045999999999999375e+01 1.001774866097077554e+00 9.872895215126387645e-04
8.870300000000000296e+01 1.001270889345563964e+00 9.185009378765908884e-04
1.116700000000000017e+02 1.000291115145673482e+00 8.764308085883219324e-04
1.405900000000000034e+02 9.995366763826581957e-01 8.760343508057678256e-04
1.769900000000000091e+02 9.993207479205602484e-01 8.598094354241662398e-04
2.228100000000000023e+02 9.986270649111376185e-01 8.969391411864327968e-04
