# 
# meanr   jkmean  jkerr
2.805000000000000160e+00 3.204911600256823262e-05 3.206038321873554776e-05
3.531299999999999883e+00 -8.462764759785110878e-06 2.545996808219599180e-05
4.445700000000000429e+00 1.228997256199563806e-05 2.309791775051686435e-05
5.596799999999999997e+00 2.796883965453283354e-05 1.789065368876229260e-05
7.046000000000000263e+00 -1.962107551896058235e-05 1.628478705973720675e-05
8.870300000000000296e+00 5.640224085615644542e-06 1.335433959645062179e-05
1.116699999999999982e+01 9.738223302577885931e-06 1.463704932598499163e-05
1.405899999999999928e+01 -2.961155878609603634e-06 1.386705184646391973e-05
1.769900000000000162e+01 -1.318982880016959948e-05 1.413018942876049924e-05
2.228099999999999881e+01 -7.391621555096359354e-06 1.343221863668431470e-05
2.805000000000000071e+01 -7.763004981510314699e-06 1.425970285649835121e-05
3.531300000000000239e+01 -1.842206478963356100e-06 1.677509034442210980e-05
4.445700000000000074e+01 7.439682557319019332e-07 1.874308216786859540e-05
5.596800000000000352e+01 -8.101539649947755753e-06 2.016446391670853776e-05
7.045999999999999375e+01 -5.290218833329673483e-06 2.220341226735854102e-05
8.870300000000000296e+01 -2.605112743104798738e-06 2.626705826106657228e-05
1.116700000000000017e+02 2.948441409175230979e-06 3.291002861793731305e-05
1.405900000000000034e+02 6.818701968720138072e-06 3.915273915926216583e-05
1.769900000000000091e+02 -1.229446109346339181e-06 4.253353920662251541e-05
2.228100000000000023e+02 -6.926537315889076729e-06 4.390794483876039715e-05
