# 
# meanr   jkmean  jkerr
2.805000000000000160e+00 -7.138406161490483501e-05 1.342067738299490619e-04
3.531299999999999883e+00 2.285725237158153095e-04 1.119061096038857366e-04
4.445700000000000429e+00 9.446426377181220836e-05 1.063324736417208259e-04
5.596799999999999997e+00 -4.733542156214540767e-05 9.069488325013684376e-05
7.046000000000000263e+00 5.353531599750879408e-05 6.400467654882216560e-05
8.870300000000000296e+00 4.941071284499555239e-05 4.751477665842855478e-05
1.116699999999999982e+01 1.416226336527276568e-05 4.583977455269825106e-05
1.405899999999999928e+01 3.695704493453807018e-05 3.748597739381612085e-05
1.769900000000000162e+01 -1.156469464718399860e-05 2.752007690580860616e-05
2.228099999999999881e+01 -3.034095626510620753e-05 2.503492407281319724e-05
2.805000000000000071e+01 -1.071936620281415306e-05 2.035899588286833531e-05
3.531300000000000239e+01 1.229116500720732144e-05 1.728993815461035284e-05
4.445700000000000074e+01 4.884914872080932274e-07 1.476378252972188938e-05
5.596800000000000352e+01 -4.110673439823752442e-06 1.281687050068834829e-05
7.045999999999999375e+01 2.378871659935207809e-06 1.176457214800390753e-05
8.870300000000000296e+01 2.999444753783946840e-06 1.122315625025515160e-05
1.116700000000000017e+02 -6.970772725638514064e-06 9.944683748195454301e-06
1.405900000000000034e+02 -6.332861094218504505e-06 7.269849708029101244e-06
1.769900000000000091e+02 -4.834759778880090378e-06 7.616360670244207531e-06
2.228100000000000023e+02 -8.056771222701808823e-06 7.216229134182505591e-06
