# 
# meanr   jkmean  jkerr
2.805000000000000160e+00 -7.095793251471693925e-05 1.330890261473101463e-04
3.531299999999999883e+00 2.285447595967126906e-04 1.119929602715445400e-04
4.445700000000000429e+00 9.409371399242789306e-05 1.059124464065281420e-04
5.596799999999999997e+00 -4.716607574749870249e-05 9.046732902747124324e-05
7.046000000000000263e+00 5.341612015361131533e-05 6.379586051223942158e-05
8.870300000000000296e+00 4.922695919521441889e-05 4.731167832139209254e-05
1.116699999999999982e+01 1.401158310243672059e-05 4.563923266773141639e-05
1.405899999999999928e+01 3.679002602624665375e-05 3.731287115436134001e-05
1.769900000000000162e+01 -1.153749182029309250e-05 2.744893379580563906e-05
2.228099999999999881e+01 -3.028855063461855795e-05 2.502186906279646158e-05
2.805000000000000071e+01 -1.067768352994886508e-05 2.027551844638764240e-05
3.531300000000000239e+01 1.226545241242071649e-05 1.724823738664257462e-05
4.445700000000000074e+01 4.873676232119545988e-07 1.473117022460635454e-05
5.596800000000000352e+01 -4.115415810823533695e-06 1.281419384565822218e-05
7.045999999999999375e+01 2.374150809122553211e-06 1.173761774590324667e-05
8.870300000000000296e+01 2.995921208509634992e-06 1.120652298316525213e-05
1.116700000000000017e+02 -6.962116856672277304e-06 9.941292412637318612e-06
1.405900000000000034e+02 -6.334362717289304143e-06 7.272903017550156901e-06
1.769900000000000091e+02 -4.839655788287083753e-06 7.622890257411357337e-06
2.228100000000000023e+02 -8.056158629507530078e-06 7.217790408518042484e-06
