## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.8050e+00   2.8347e+00   1.0400e+00  -1.6818e-03   1.7468e-03   1.1518e+04   7.5539e+04
  3.5313e+00   3.5694e+00   1.2705e+00  -7.6656e-04   1.4014e-03   1.7893e+04   1.1781e+05
  4.4457e+00   4.4912e+00   1.5002e+00  -5.9071e-04   1.1208e-03   2.7973e+04   1.8370e+05
  5.5968e+00   5.6570e+00   1.7310e+00  -1.1660e-03   8.9512e-04   4.3860e+04   2.8757e+05
  7.0460e+00   7.1184e+00   1.9608e+00  -9.7859e-04   7.1579e-04   6.8592e+04   4.4924e+05
  8.8703e+00   8.9651e+00   2.1914e+00  -5.8447e-04   5.7208e-04   1.0738e+05   7.0252e+05
  1.1167e+01   1.1285e+01   2.4216e+00  -1.1482e-03   4.5472e-04   1.6996e+05   1.1044e+06
  1.4059e+01   1.4207e+01   2.6519e+00  -8.7275e-04   3.6366e-04   2.6573e+05   1.7311e+06
  1.7699e+01   1.7887e+01   2.8822e+00  -2.4001e-04   2.9022e-04   4.1723e+05   2.7100e+06
  2.2281e+01   2.2521e+01   3.1125e+00  -5.5387e-04   2.3223e-04   6.5162e+05   4.2247e+06
  2.8050e+01   2.8342e+01   3.3424e+00  -6.7939e-04   1.8605e-04   1.0153e+06   6.5685e+06
  3.5313e+01   3.5675e+01   3.5725e+00  -3.1193e-04   1.4972e-04   1.5678e+06   1.0191e+07
  4.4457e+01   4.4919e+01   3.8029e+00  -2.1833e-04   1.2073e-04   2.4111e+06   1.5684e+07
  5.5968e+01   5.6556e+01   4.0332e+00  -7.7406e-06   9.7042e-05   3.7318e+06   2.4276e+07
  7.0460e+01   7.1184e+01   4.2633e+00   9.1695e-06   7.8281e-05   5.7349e+06   3.7331e+07
  8.8703e+01   8.9583e+01   4.4932e+00  -3.8402e-05   6.3584e-05   8.6925e+06   5.6496e+07
  1.1167e+02   1.1276e+02   4.7233e+00   1.2812e-04   5.1919e-05   1.3037e+07   8.4773e+07
  1.4059e+02   1.4189e+02   4.9531e+00   1.9632e-04   4.2789e-05   1.9195e+07   1.2464e+08
  1.7699e+02   1.7863e+02   5.1833e+00   1.1279e-04   3.5477e-05   2.7922e+07   1.8049e+08
  2.2281e+02   2.2455e+02   5.4121e+00   2.7541e-04   3.0106e-05   3.8774e+07   2.4833e+08
