## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.8050e+00   2.8469e+00   1.0443e+00   7.5887e-03   1.1353e-02   2.6671e+02   1.9480e+03
  3.5313e+00   3.5903e+00   1.2765e+00   5.7234e-03   9.4986e-03   3.8101e+02   3.0360e+03
  4.4457e+00   4.4746e+00   1.4964e+00   2.1832e-03   7.8471e-03   5.5827e+02   4.5310e+03
  5.5968e+00   5.6471e+00   1.7294e+00  -4.9576e-03   6.1809e-03   8.9982e+02   6.7960e+03
  7.0460e+00   7.1116e+00   1.9599e+00  -3.6605e-03   4.9629e-03   1.3957e+03   9.7630e+03
  8.8703e+00   8.9462e+00   2.1894e+00   2.0698e-03   4.0763e-03   2.0688e+03   1.3805e+04
  1.1167e+01   1.1283e+01   2.4213e+00  -4.0087e-03   3.5069e-03   2.7951e+03   1.8708e+04
  1.4059e+01   1.4141e+01   2.6471e+00   4.1046e-03   2.9636e-03   3.9140e+03   2.3929e+04
  1.7699e+01   1.7898e+01   2.8827e+00  -1.2558e-03   2.5087e-03   5.4620e+03   3.2608e+04
  2.2281e+01   2.2492e+01   3.1112e+00  -4.2784e-03   2.0525e-03   8.1599e+03   4.7251e+04
  2.8050e+01   2.8341e+01   3.3423e+00  -2.3484e-03   1.6808e-03   1.2168e+04   6.5293e+04
  3.5313e+01   3.5511e+01   3.5679e+00   3.5446e-04   1.4930e-03   1.5421e+04   7.4163e+04
  4.4457e+01   4.4869e+01   3.8017e+00  -2.2399e-04   1.3503e-03   1.8854e+04   8.2769e+04
  5.5968e+01   5.6546e+01   4.0331e+00  -1.4079e-03   1.0513e-03   3.1105e+04   1.3232e+05
  7.0460e+01   7.1279e+01   4.2647e+00  -2.7291e-03   8.3733e-04   4.9031e+04   2.1872e+05
  8.8703e+01   8.9909e+01   4.4968e+00   4.0952e-04   6.3537e-04   8.5155e+04   3.8566e+05
  1.1167e+02   1.1351e+02   4.7300e+00  -4.3403e-04   4.5100e-04   1.6901e+05   7.3751e+05
  1.4059e+02   1.4218e+02   4.9551e+00  -3.2669e-05   3.2458e-04   3.2630e+05   1.4791e+06
  1.7699e+02   1.7797e+02   5.1795e+00  -4.4534e-04   2.8813e-04   4.1409e+05   2.1989e+06
  2.2281e+02   2.2580e+02   5.4176e+00  -9.1539e-05   2.3814e-04   6.0616e+05   3.4563e+06
