## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.8050e+00   2.8342e+00   1.0398e+00   5.4640e-04   1.8826e-04   9.9129e+05   9.9129e+05
  3.5313e+00   3.5691e+00   1.2704e+00   3.7834e-04   1.5012e-04   1.5590e+06   1.5590e+06
  4.4457e+00   4.4932e+00   1.5006e+00   1.4622e-04   1.1955e-04   2.4583e+06   2.4583e+06
  5.5968e+00   5.6570e+00   1.7309e+00  -1.3031e-04   9.5243e-05   3.8732e+06   3.8732e+06
  7.0460e+00   7.1222e+00   1.9613e+00   6.6405e-05   7.5667e-05   6.1365e+06   6.1365e+06
  8.8703e+00   8.9668e+00   2.1916e+00   2.0157e-04   6.0155e-05   9.7094e+06   9.7094e+06
  1.1167e+01   1.1289e+01   2.4218e+00   1.5312e-04   4.7777e-05   1.5392e+07   1.5392e+07
  1.4059e+01   1.4211e+01   2.6520e+00   3.1821e-04   3.7995e-05   2.4338e+07   2.4338e+07
  1.7699e+01   1.7891e+01   2.8823e+00   1.6484e-04   3.0218e-05   3.8478e+07   3.8478e+07
  2.2281e+01   2.2524e+01   3.1126e+00   1.5311e-04   2.3990e-05   6.1048e+07   6.1048e+07
  2.8050e+01   2.8358e+01   3.3429e+00   1.0726e-05   1.9051e-05   9.6801e+07   9.6801e+07
  3.5313e+01   3.5700e+01   3.5731e+00   1.3149e-05   1.5119e-05   1.5370e+08   1.5370e+08
  4.4457e+01   4.4944e+01   3.8034e+00   7.0682e-05   1.1990e-05   2.4438e+08   2.4438e+08
  5.5968e+01   5.6579e+01   4.0336e+00   2.3276e-05   9.5104e-06   3.8846e+08   3.8846e+08
  7.0460e+01   7.1227e+01   4.2639e+00  -1.4500e-04   7.5583e-06   6.1503e+08   6.1503e+08
  8.8703e+01   8.9675e+01   4.4942e+00  -1.1148e-04   6.0046e-06   9.7446e+08   9.7446e+08
  1.1167e+02   1.1290e+02   4.7245e+00  -4.9910e-05   4.7657e-06   1.5469e+09   1.5469e+09
  1.4059e+02   1.4213e+02   4.9548e+00   1.0293e-04   3.7826e-06   2.4555e+09   2.4555e+09
  1.7699e+02   1.7885e+02   5.1845e+00   5.5118e-06   3.0134e-06   3.8692e+09   3.8692e+09
  2.2281e+02   2.2475e+02   5.4130e+00   5.8859e-05   2.4891e-06   5.6708e+09   5.6708e+09
