# 
# meanr   jkmean  jkerr
2.805000000000000160e+00 1.064478053228537169e+00 1.730820684799263404e-03
3.531299999999999883e+00 1.052573112910430320e+00 1.547356036289147200e-03
4.445700000000000429e+00 1.045073753036029673e+00 1.467108367792206800e-03
5.596799999999999997e+00 1.036700442660283050e+00 1.317906649422695073e-03
7.046000000000000263e+00 1.030907615315088455e+00 1.202408770685687873e-03
8.870300000000000296e+00 1.025805075776206721e+00 1.144913590280268248e-03
1.116699999999999982e+01 1.021452362848295214e+00 1.153305458501366950e-03
1.405899999999999928e+01 1.017428799912320825e+00 1.043577934274650875e-03
1.769900000000000162e+01 1.014089092477375553e+00 1.044493592802337020e-03
2.228099999999999881e+01 1.010851436347100840e+00 1.044664352491096260e-03
2.805000000000000071e+01 1.008447852224668484e+00 9.909331286610644895e-04
3.531300000000000239e+01 1.005920982805207586e+00 9.942031952834098126e-04
4.445700000000000074e+01 1.003552828915871054e+00 9.628378504937759076e-04
5.596800000000000352e+01 1.002226321645942164e+00 9.365897486419489304e-04
7.045999999999999375e+01 1.001626821887502183e+00 9.169820932827527213e-04
8.870300000000000296e+01 1.000991671559323004e+00 8.808259282887732260e-04
1.116700000000000017e+02 1.000032727224426488e+00 8.573649394893567525e-04
1.405900000000000034e+02 9.995074396056421451e-01 8.480729435772878721e-04
1.769900000000000091e+02 9.991491237575895745e-01 8.616455545840958448e-04
2.228100000000000023e+02 9.982947094147150979e-01 9.214425849008560116e-04
