# 
# meanr   jkmean  jkerr
2.805000000000000160e+00 3.325041522573088506e-06 3.668671762998751938e-05
3.531299999999999883e+00 -1.913253516853550681e-05 3.113867555119729055e-05
4.445700000000000429e+00 -9.013257643451322385e-06 2.244423497611298319e-05
5.596799999999999997e+00 -3.936207258041439614e-05 2.271294889764437404e-05
7.046000000000000263e+00 -4.264061515481724383e-06 1.786848256287874433e-05
8.870300000000000296e+00 -1.187530530905776863e-05 1.854730057311374184e-05
1.116699999999999982e+01 -1.128408543773179379e-05 1.684050807365135554e-05
1.405899999999999928e+01 6.268866445075543017e-06 1.610124640757814275e-05
1.769900000000000162e+01 7.910209922396693989e-07 1.524901313113991239e-05
2.228099999999999881e+01 2.408093300967959730e-06 1.619290705588413159e-05
2.805000000000000071e+01 -4.940651841362551364e-06 1.735872974597460811e-05
3.531300000000000239e+01 -1.062832948499860290e-05 1.854178912015653889e-05
4.445700000000000074e+01 -1.332179631040138905e-05 2.195812464122797787e-05
5.596800000000000352e+01 -1.005836817357020964e-05 2.442964673931521155e-05
7.045999999999999375e+01 2.976530659518904395e-06 2.531659484434536025e-05
8.870300000000000296e+01 -6.020409360375888721e-06 2.972229600693063778e-05
1.116700000000000017e+02 -1.984579255842316761e-05 3.689203376716365136e-05
1.405900000000000034e+02 -1.804842162997190706e-05 4.572916902792462074e-05
1.769900000000000091e+02 -1.759049207175085162e-05 5.566259132572063133e-05
2.228100000000000023e+02 -3.287632950897584517e-05 5.946372697840096317e-05
