# 
# meanr   jkmean  jkerr
2.805000000000000160e+00 5.835663992608929995e-04 1.800100826925969710e-04
3.531299999999999883e+00 5.055619999391877326e-04 1.454646299917360130e-04
4.445700000000000429e+00 9.589707563346957348e-05 1.035722506281072338e-04
5.596799999999999997e+00 3.221959363717704868e-04 8.509527583370403328e-05
7.046000000000000263e+00 1.915992340769566090e-04 7.665800822279081263e-05
8.870300000000000296e+00 1.834961076845630144e-04 6.166359700144251278e-05
1.116699999999999982e+01 1.264199723888004040e-04 4.874916569061184891e-05
1.405899999999999928e+01 9.919326671842396885e-05 3.947062536427960687e-05
1.769900000000000162e+01 1.052596044299350337e-04 3.423188191605898488e-05
2.228099999999999881e+01 6.543191204505081503e-05 2.826508339026498399e-05
2.805000000000000071e+01 7.141250155696646413e-05 2.450362145731305885e-05
3.531300000000000239e+01 4.470063578875104891e-05 1.985063225424214009e-05
4.445700000000000074e+01 4.183108332506075216e-05 1.754274054451967365e-05
5.596800000000000352e+01 1.663747251756397962e-05 1.698380715438438973e-05
7.045999999999999375e+01 1.731982067763434817e-05 1.478329562658286412e-05
8.870300000000000296e+01 2.190433314161133874e-05 1.291462885966862045e-05
1.116700000000000017e+02 1.709631206595419717e-05 1.260887614978293487e-05
1.405900000000000034e+02 -7.884254769157491148e-06 1.091831078865791579e-05
1.769900000000000091e+02 3.271762127680104461e-06 1.039305369303301323e-05
2.228100000000000023e+02 -9.680009912350292196e-06 9.062153394396415182e-06
