# 
# meanr   jkmean  jkerr
2.805000000000000160e+00 6.595763422700383627e-01 6.144224715544882240e-03
3.531299999999999883e+00 6.608547470687804459e-01 6.026511991757287426e-03
4.445700000000000429e+00 6.579640602820705508e-01 6.064415045542985265e-03
5.596799999999999997e+00 6.599148464688052718e-01 5.921809151723428193e-03
7.046000000000000263e+00 6.602498153172005058e-01 6.014762970349247888e-03
8.870300000000000296e+00 6.598627812329549425e-01 6.014914047354482859e-03
1.116699999999999982e+01 6.599257718053093136e-01 5.961704447898441388e-03
1.405899999999999928e+01 6.595596601570682394e-01 5.918559281289998558e-03
1.769900000000000162e+01 6.598703419437047524e-01 5.847351643365089266e-03
2.228099999999999881e+01 6.602016080362340666e-01 5.724144179336685713e-03
2.805000000000000071e+01 6.599085013130354671e-01 5.611189949036173366e-03
3.531300000000000239e+01 6.601687431961323904e-01 5.432370995345727448e-03
4.445700000000000074e+01 6.596749757716283691e-01 5.279932135756494789e-03
5.596800000000000352e+01 6.591019546047724997e-01 5.034753777337830707e-03
7.045999999999999375e+01 6.589163731726648265e-01 4.629430224300468306e-03
8.870300000000000296e+01 6.586519575383442682e-01 4.209148887111425347e-03
1.116700000000000017e+02 6.577501783606124475e-01 3.753589083620715271e-03
1.405900000000000034e+02 6.575748805927693619e-01 3.320913839628027685e-03
1.769900000000000091e+02 6.572795029608977657e-01 2.973956842512023510e-03
2.228100000000000023e+02 6.559850999891464474e-01 2.836024792543235390e-03
