## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.8050e+00   2.8301e+00   1.0383e+00   1.8302e-03   2.9570e-03   3.9070e+03   3.9070e+03
  3.5313e+00   3.5720e+00   1.2713e+00   6.2725e-03   2.3549e-03   6.1600e+03   6.1600e+03
  4.4457e+00   4.4810e+00   1.4979e+00   9.9451e-03   1.9471e-03   9.0110e+03   9.0110e+03
  5.5968e+00   5.6459e+00   1.7290e+00   3.1514e-03   1.6181e-03   1.3047e+04   1.3047e+04
  7.0460e+00   7.1071e+00   1.9591e+00   6.7117e-03   1.3549e-03   1.8610e+04   1.8610e+04
  8.8703e+00   8.9439e+00   2.1890e+00   3.3253e-03   1.1266e-03   2.6916e+04   2.6916e+04
  1.1167e+01   1.1234e+01   2.4170e+00   6.3145e-03   9.6572e-04   3.6630e+04   3.6630e+04
  1.4059e+01   1.4154e+01   2.6480e+00   1.0077e-02   8.6144e-04   4.6036e+04   4.6036e+04
  1.7699e+01   1.7803e+01   2.8774e+00   8.3964e-03   7.6662e-04   5.8128e+04   5.8128e+04
  2.2281e+01   2.2484e+01   3.1108e+00   7.5156e-03   6.6291e-04   7.7739e+04   7.7739e+04
  2.8050e+01   2.8336e+01   3.3422e+00   4.1211e-03   5.4744e-04   1.1399e+05   1.1399e+05
  3.5313e+01   3.5659e+01   3.5720e+00  -1.8627e-03   4.4983e-04   1.6883e+05   1.6883e+05
  4.4457e+01   4.4893e+01   3.8023e+00  -5.4615e-03   3.7730e-04   2.3998e+05   2.3998e+05
  5.5968e+01   5.6690e+01   4.0356e+00  -2.1785e-03   2.9316e-04   3.9749e+05   3.9749e+05
  7.0460e+01   7.0747e+01   4.2572e+00   1.8278e-04   2.3942e-04   5.9596e+05   5.9596e+05
  8.8703e+01   9.0510e+01   4.5034e+00  -3.4651e-04   2.0091e-04   8.4634e+05   8.4634e+05
  1.1167e+02   1.1313e+02   4.7265e+00  -2.3072e-03   1.3416e-04   1.8981e+06   1.8981e+06
  1.4059e+02   1.4236e+02   4.9564e+00   1.2821e-03   1.0006e-04   3.4123e+06   3.4123e+06
  1.7699e+02   1.7811e+02   5.1804e+00   1.0030e-03   8.2940e-05   4.9661e+06   4.9661e+06
  2.2281e+02   2.2427e+02   5.4108e+00   2.7795e-03   7.6947e-05   5.7698e+06   5.7698e+06
