## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr       gamT         gamX        sigma        weight       npairs   
  2.8050e+00   2.8342e+00   1.0398e+00   1.6733e-05  -2.0002e-04   1.8228e-04   1.1017e+06   1.1017e+06
  3.5313e+00   3.5690e+00   1.2703e+00  -2.1843e-04  -1.0752e-04   1.4542e-04   1.7308e+06   1.7308e+06
  4.4457e+00   4.4934e+00   1.5007e+00  -1.0332e-04   8.9256e-05   1.1561e-04   2.7387e+06   2.7387e+06
  5.5968e+00   5.6572e+00   1.7310e+00  -5.5087e-05   8.3629e-05   9.1946e-05   4.3297e+06   4.3297e+06
  7.0460e+00   7.1217e+00   1.9612e+00  -6.0320e-05   2.8782e-05   7.3181e-05   6.8349e+06   6.8349e+06
  8.8703e+00   8.9663e+00   2.1915e+00  -9.4062e-05  -9.0811e-06   5.8219e-05   1.0799e+07   1.0799e+07
  1.1167e+01   1.1287e+01   2.4217e+00   1.6447e-04  -5.0003e-05   4.6277e-05   1.7092e+07   1.7092e+07
  1.4059e+01   1.4210e+01   2.6520e+00   8.7333e-05   2.5702e-05   3.6833e-05   2.6981e+07   2.6981e+07
  1.7699e+01   1.7890e+01   2.8823e+00   8.1962e-05  -4.0595e-05   2.9324e-05   4.2567e+07   4.2567e+07
  2.2281e+01   2.2523e+01   3.1125e+00   9.5708e-05  -5.5607e-05   2.3325e-05   6.7276e+07   6.7276e+07
  2.8050e+01   2.8355e+01   3.3428e+00   1.5162e-04  -4.1617e-05   1.8551e-05   1.0637e+08   1.0637e+08
  3.5313e+01   3.5699e+01   3.5731e+00   2.0103e-04  -9.8319e-05   1.4743e-05   1.6840e+08   1.6840e+08
  4.4457e+01   4.4944e+01   3.8034e+00   2.4963e-04  -1.6941e-04   1.1701e-05   2.6733e+08   2.6733e+08
  5.5968e+01   5.6584e+01   4.0337e+00   2.9304e-04  -2.6468e-04   9.2722e-06   4.2576e+08   4.2576e+08
  7.0460e+01   7.1237e+01   4.2640e+00   2.8138e-04  -3.5135e-04   7.3481e-06   6.7790e+08   6.7790e+08
  8.8703e+01   8.9687e+01   4.4943e+00   2.9821e-04  -3.3747e-04   5.8221e-06   1.0799e+09   1.0799e+09
  1.1167e+02   1.1293e+02   4.7247e+00   2.8236e-04  -2.9176e-04   4.5978e-06   1.7315e+09   1.7315e+09
  1.4059e+02   1.4216e+02   4.9550e+00   1.6144e-04  -3.5288e-04   3.6269e-06   2.7825e+09   2.7825e+09
  1.7699e+02   1.7897e+02   5.1852e+00   1.1977e-04  -2.5838e-04   2.8606e-06   4.4730e+09   4.4730e+09
  2.2281e+02   2.2485e+02   5.4134e+00   5.9553e-05  -1.2754e-04   2.3271e-06   6.7589e+09   6.7589e+09
