## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log', 'tot': 286309473.3806823}
#   r_nom       meanr       meanlogr        xi        sigma_xi        DD           RR         npairs   
  2.8050e+00   2.8328e+00   1.0393e+00   5.0533e-02   4.2485e-03   1.1190e+04   1.0651e+04   6.8230e+04
  3.5313e+00   3.5682e+00   1.2702e+00   4.5306e-02   3.3913e-03   1.7473e+04   1.6716e+04   1.0525e+05
  4.4457e+00   4.4911e+00   1.5002e+00   3.8324e-02   2.7043e-03   2.7295e+04   2.6288e+04   1.6590e+05
  5.5968e+00   5.6573e+00   1.7311e+00   3.1520e-02   2.1533e-03   4.2770e+04   4.1463e+04   2.6206e+05
  7.0460e+00   7.1222e+00   1.9613e+00   3.0406e-02   1.7172e-03   6.7177e+04   6.5195e+04   4.1250e+05
  8.8703e+00   8.9640e+00   2.1913e+00   3.2042e-02   1.3683e-03   1.0598e+05   1.0269e+05   6.4855e+05
  1.1167e+01   1.1286e+01   2.4217e+00   2.8246e-02   1.0883e-03   1.6691e+05   1.6232e+05   1.0193e+06
  1.4059e+01   1.4207e+01   2.6518e+00   2.7428e-02   8.6898e-04   2.6158e+05   2.5460e+05   1.5961e+06
  1.7699e+01   1.7889e+01   2.8823e+00   2.6790e-02   6.9293e-04   4.1112e+05   4.0040e+05   2.5093e+06
  2.2281e+01   2.2517e+01   3.1123e+00   2.8558e-02   5.5231e-04   6.4824e+05   6.3024e+05   3.9453e+06
  2.8050e+01   2.8353e+01   3.3428e+00   2.5693e-02   4.4131e-04   1.0125e+06   9.8716e+05   6.1749e+06
  3.5313e+01   3.5688e+01   3.5729e+00   3.2330e-02   3.5279e-04   1.5946e+06   1.5447e+06   9.6727e+06
  4.4457e+01   4.4919e+01   3.8029e+00   2.7908e-02   2.8303e-04   2.4671e+06   2.4001e+06   1.4993e+07
  5.5968e+01   5.6543e+01   4.0330e+00   2.9432e-02   2.2771e-04   3.8169e+06   3.7078e+06   2.3165e+07
  7.0460e+01   7.1161e+01   4.2630e+00   2.6482e-02   1.8426e-04   5.8126e+06   5.6627e+06   3.5331e+07
  8.8703e+01   8.9556e+01   4.4929e+00   1.8941e-02   1.5010e-04   8.6943e+06   8.5327e+06   5.2837e+07
  1.1167e+02   1.1272e+02   4.7229e+00  -8.1169e-04   1.2250e-04   1.2802e+07   1.2812e+07   7.8463e+07
  1.4059e+02   1.4189e+02   4.9531e+00  -2.1193e-02   1.0044e-04   1.8653e+07   1.9057e+07   1.1546e+08
  1.7699e+02   1.7865e+02   5.1835e+00  -2.4148e-02   8.2941e-05   2.7272e+07   2.7947e+07   1.6943e+08
  2.2281e+02   2.2501e+02   5.4141e+00  -1.2220e-02   6.8869e-05   4.0039e+07   4.0534e+07   2.4747e+08
