# 
# meanr   jkmean  jkerr
2.805000000000000160e+00 1.660511925726179889e-03 1.706547966710181459e-04
3.531299999999999883e+00 1.499881744731093635e-03 1.272087994100852667e-04
4.445700000000000429e+00 1.082755703593195557e-03 1.153415542681489754e-04
5.596799999999999997e+00 8.765207463427921375e-04 9.684058495234857734e-05
7.046000000000000263e+00 5.987688474154863718e-04 7.575068543388809928e-05
8.870300000000000296e+00 3.503068193253759807e-04 5.352633226728792485e-05
1.116699999999999982e+01 3.464134326475432307e-04 4.476729647446905263e-05
1.405899999999999928e+01 3.230030421317831805e-04 3.988449572916483003e-05
1.769900000000000162e+01 2.414571374601422703e-04 3.331718660857727055e-05
2.228099999999999881e+01 1.975292509051510925e-04 2.894796995315059338e-05
2.805000000000000071e+01 1.956634942962546435e-04 2.658001011042063157e-05
3.531300000000000239e+01 1.614380476121214615e-04 1.973235197236732517e-05
4.445700000000000074e+01 1.177996642657121802e-04 1.792463523637726996e-05
5.596800000000000352e+01 1.003854303787244209e-04 1.500388696279921748e-05
7.045999999999999375e+01 9.363174724997353968e-05 1.472382092348775815e-05
8.870300000000000296e+01 8.720222434677565014e-05 1.315683415990115740e-05
1.116700000000000017e+02 7.313734047282572889e-05 1.211505083806961766e-05
1.405900000000000034e+02 4.887203959200417023e-05 1.214831953172285625e-05
1.769900000000000091e+02 4.171731456687538997e-05 1.262315758351564622e-05
2.228100000000000023e+02 2.519897646465172898e-05 1.071421205543484813e-05
