# 
# meanr   jkmean  jkerr
2.805000000000000160e+00 -9.094928582212970334e-05 1.724254531103664237e-04
3.531299999999999883e+00 -2.004030055729869627e-04 1.338685467125007506e-04
4.445700000000000429e+00 4.260594974234387676e-06 9.950498087272088377e-05
5.596799999999999997e+00 -1.433600286433051583e-04 9.217849350209553650e-05
7.046000000000000263e+00 -1.122620352993191354e-04 6.534138387263309952e-05
8.870300000000000296e+00 3.366302294719491811e-05 6.666757979508827335e-05
1.116699999999999982e+01 1.380788243709129077e-05 4.427020156709335358e-05
1.405899999999999928e+01 -1.188527728449994396e-05 3.994838784665926648e-05
1.769900000000000162e+01 1.645495360113763156e-05 3.171589086081244368e-05
2.228099999999999881e+01 -1.886646907589532258e-05 2.645891789821853659e-05
2.805000000000000071e+01 2.467719089709025405e-05 2.450480212788598141e-05
3.531300000000000239e+01 1.606131231572014123e-05 1.988365532079870677e-05
4.445700000000000074e+01 -2.436738457744983051e-05 1.609960841980513375e-05
5.596800000000000352e+01 -1.580087366881831554e-05 1.328930999341779742e-05
7.045999999999999375e+01 -2.525884854065817657e-05 1.221074331002620426e-05
8.870300000000000296e+01 -1.070527009049860631e-05 1.037838771225210911e-05
1.116700000000000017e+02 1.229629407635183082e-05 1.018155904265443156e-05
1.405900000000000034e+02 4.652381715221297073e-06 8.502723616903894310e-06
1.769900000000000091e+02 3.751303779901729495e-06 8.481935435190488345e-06
2.228100000000000023e+02 1.364351569174219416e-06 7.219998296626912032e-06
