# 
# meanr   jkmean  jkerr
2.805000000000000160e+00 6.085674373024011485e-01 7.996053408796617579e-03
3.531299999999999883e+00 6.232180797644765180e-01 8.111250006779162705e-03
4.445700000000000429e+00 6.162541708726958500e-01 7.376799002620643142e-03
5.596799999999999997e+00 6.175624342566823355e-01 6.749184037063931871e-03
7.046000000000000263e+00 6.242743463141060545e-01 6.619455251639910082e-03
8.870300000000000296e+00 6.192775625760378322e-01 5.880857351356731655e-03
1.116699999999999982e+01 6.196920523246801649e-01 6.120705028182890639e-03
1.405899999999999928e+01 6.175633043919134257e-01 6.120046671258347164e-03
1.769900000000000162e+01 6.172379272010878326e-01 5.950841151616837257e-03
2.228099999999999881e+01 6.177502748947248934e-01 5.753271266063029153e-03
2.805000000000000071e+01 6.184360798180666974e-01 5.570077625923887041e-03
3.531300000000000239e+01 6.192327167045639236e-01 5.426269634555501084e-03
4.445700000000000074e+01 6.193608833594386187e-01 5.327461260960739478e-03
5.596800000000000352e+01 6.192873088578658702e-01 5.081903695831915986e-03
7.045999999999999375e+01 6.184640976017697911e-01 4.639653284547884046e-03
8.870300000000000296e+01 6.188780784811087621e-01 4.202400557130622251e-03
1.116700000000000017e+02 6.187670231103953311e-01 3.672996943768976150e-03
1.405900000000000034e+02 6.191262051616308604e-01 3.206385440253662917e-03
1.769900000000000091e+02 6.186063905674324959e-01 2.780962001597169983e-03
2.228100000000000023e+02 6.177593099173734892e-01 2.530289394298663400e-03
