# 
# meanr   jkmean  jkerr
2.805000000000000160e+00 6.262943612067538579e-01 1.001235125637218483e-02
3.531299999999999883e+00 6.412304758267004523e-01 9.414436347318274820e-03
4.445700000000000429e+00 6.313984865167600047e-01 9.409160505752411918e-03
5.596799999999999997e+00 6.364637008142990382e-01 7.774216790352900773e-03
7.046000000000000263e+00 6.336797211027979104e-01 7.827410551003190914e-03
8.870300000000000296e+00 6.303834725622690094e-01 7.664778379041331871e-03
1.116699999999999982e+01 6.325086786216604917e-01 7.550541140268061946e-03
1.405899999999999928e+01 6.315761629099203578e-01 7.404908618334029788e-03
1.769900000000000162e+01 6.322918569054158944e-01 7.165159159433806373e-03
2.228099999999999881e+01 6.329637247073679474e-01 7.216348800846228775e-03
2.805000000000000071e+01 6.323934638279398168e-01 6.957273930420967631e-03
3.531300000000000239e+01 6.315602337424315316e-01 6.630139001924293361e-03
4.445700000000000074e+01 6.317756251697068670e-01 6.441246262372714998e-03
5.596800000000000352e+01 6.305909103215308065e-01 6.087311308668998978e-03
7.045999999999999375e+01 6.297340076148224552e-01 5.679797289159356499e-03
8.870300000000000296e+01 6.303615400752701214e-01 5.081923397637022610e-03
1.116700000000000017e+02 6.297725540953161838e-01 4.363800810356518144e-03
1.405900000000000034e+02 6.300648204189338575e-01 3.608154311305761686e-03
1.769900000000000091e+02 6.300689478306610303e-01 3.086198204834529613e-03
2.228100000000000023e+02 6.296024538975254492e-01 2.853167678061087949e-03
