## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.8050e+00   2.8319e+00   1.0390e+00  -1.4819e-03   1.3266e-03   1.6604e+04   1.0437e+05
  3.5313e+00   3.5676e+00   1.2700e+00   1.8165e-04   1.0514e-03   2.6430e+04   1.6472e+05
  4.4457e+00   4.4949e+00   1.5011e+00   8.5891e-05   8.4212e-04   4.1201e+04   2.5757e+05
  5.5968e+00   5.6551e+00   1.7307e+00   7.8777e-04   6.7009e-04   6.5073e+04   4.0811e+05
  7.0460e+00   7.1219e+00   1.9613e+00  -5.3222e-04   5.3431e-04   1.0235e+05   6.4341e+05
  8.8703e+00   8.9640e+00   2.1913e+00  -6.2816e-06   4.2601e-04   1.6100e+05   1.0144e+06
  1.1167e+01   1.1287e+01   2.4218e+00   2.0341e-04   3.3904e-04   2.5419e+05   1.5972e+06
  1.4059e+01   1.4209e+01   2.6519e+00  -5.2851e-05   2.6993e-04   4.0100e+05   2.5264e+06
  1.7699e+01   1.7890e+01   2.8823e+00   3.1232e-05   2.1467e-04   6.3406e+05   3.9830e+06
  2.2281e+01   2.2518e+01   3.1124e+00  -2.6211e-04   1.7108e-04   9.9828e+05   6.2882e+06
  2.8050e+01   2.8348e+01   3.3426e+00   1.8121e-05   1.3628e-04   1.5733e+06   9.9146e+06
  3.5313e+01   3.5692e+01   3.5730e+00  -4.3801e-04   1.0848e-04   2.4828e+06   1.5629e+07
  4.4457e+01   4.4943e+01   3.8034e+00  -2.1473e-04   8.6310e-05   3.9223e+06   2.4745e+07
  5.5968e+01   5.6587e+01   4.0338e+00  -6.6206e-05   6.8350e-05   6.2544e+06   3.9422e+07
  7.0460e+01   7.1235e+01   4.2640e+00   2.2163e-05   5.4132e-05   9.9712e+06   6.2877e+07
  8.8703e+01   8.9670e+01   4.4941e+00   1.6556e-04   4.3019e-05   1.5788e+07   9.9775e+07
  1.1167e+02   1.1289e+02   4.7245e+00   4.0365e-05   3.4199e-05   2.4983e+07   1.5798e+08
  1.4059e+02   1.4212e+02   4.9547e+00   5.6651e-05   2.7178e-05   3.9557e+07   2.5015e+08
  1.7699e+02   1.7886e+02   5.1846e+00   8.3298e-05   2.1667e-05   6.2237e+07   3.9330e+08
  2.2281e+02   2.2471e+02   5.4128e+00  -3.1496e-05   1.7875e-05   9.1442e+07   5.7712e+08
