## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.8050e+00   2.8319e+00   1.0390e+00  -3.5083e-03   3.2321e-03   3.4822e+03   2.0804e+04
  3.5313e+00   3.5637e+00   1.2689e+00  -5.9035e-03   2.5614e-03   5.5443e+03   3.2938e+04
  4.4457e+00   4.4887e+00   1.4996e+00  -3.4145e-03   2.0703e-03   8.4869e+03   5.0518e+04
  5.5968e+00   5.6567e+00   1.7309e+00  -2.8705e-03   1.6429e-03   1.3476e+04   7.9218e+04
  7.0460e+00   7.1211e+00   1.9612e+00  -1.9528e-03   1.3152e-03   2.1030e+04   1.2484e+05
  8.8703e+00   8.9629e+00   2.1912e+00   2.7173e-06   1.0579e-03   3.2504e+04   1.9385e+05
  1.1167e+01   1.1283e+01   2.4214e+00  -1.0941e-03   8.4439e-04   5.1017e+04   3.0284e+05
  1.4059e+01   1.4205e+01   2.6517e+00  -2.0416e-03   6.7500e-04   7.9837e+04   4.7439e+05
  1.7699e+01   1.7878e+01   2.8816e+00  -2.0752e-03   5.4422e-04   1.2282e+05   7.4107e+05
  2.2281e+01   2.2506e+01   3.1119e+00  -9.5162e-04   4.3720e-04   1.9031e+05   1.1426e+06
  2.8050e+01   2.8334e+01   3.3421e+00   1.4059e-04   3.5423e-04   2.8989e+05   1.7482e+06
  3.5313e+01   3.5655e+01   3.5719e+00   1.5084e-04   2.8856e-04   4.3685e+05   2.6236e+06
  4.4457e+01   4.4877e+01   3.8019e+00   3.6977e-04   2.3785e-04   6.4299e+05   3.8503e+06
  5.5968e+01   5.6464e+01   4.0316e+00   2.6249e-04   1.9796e-04   9.2826e+05   5.5586e+06
  7.0460e+01   7.1108e+01   4.2622e+00  -7.7725e-04   1.6515e-04   1.3336e+06   7.9843e+06
  8.8703e+01   8.9560e+01   4.4929e+00  -8.1878e-04   1.3637e-04   1.9560e+06   1.1748e+07
  1.1167e+02   1.1290e+02   4.7245e+00   7.1404e-05   1.1019e-04   2.9959e+06   1.8000e+07
  1.4059e+02   1.4218e+02   4.9551e+00   9.4786e-04   8.6827e-05   4.8250e+06   2.8904e+07
  1.7699e+02   1.7899e+02   5.1853e+00   2.4337e-04   6.8322e-05   7.7927e+06   4.6743e+07
  2.2281e+02   2.2409e+02   5.4100e+00  -5.4325e-04   5.7050e-05   1.1176e+07   6.7147e+07
