## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr       gamT         gamX        sigma        weight       npairs   
  2.8050e+00   2.8340e+00   1.0397e+00  -9.6107e-06   7.5783e-06   1.9224e-05   1.1709e+08   1.1709e+08
  3.5313e+00   3.5689e+00   1.2703e+00   9.1812e-07   1.9598e-05   1.6620e-05   1.8338e+08   1.8338e+08
  4.4457e+00   4.4930e+00   1.5006e+00  -8.2812e-06  -3.0416e-06   1.2462e-05   2.8826e+08   2.8826e+08
  5.5968e+00   5.6567e+00   1.7309e+00  -1.0810e-05  -8.1017e-06   1.2498e-05   4.5330e+08   4.5330e+08
  7.0460e+00   7.1214e+00   1.9611e+00  -6.9444e-06  -8.1066e-06   9.7304e-06   7.1320e+08   7.1320e+08
  8.8703e+00   8.9666e+00   2.1915e+00  -1.0927e-05  -1.0902e-05   8.4411e-06   1.1245e+09   1.1245e+09
  1.1167e+01   1.1287e+01   2.4216e+00  -1.0599e-05   2.9370e-06   7.7552e-06   1.7766e+09   1.7766e+09
  1.4059e+01   1.4209e+01   2.6519e+00  -1.7130e-05  -1.1594e-06   7.0107e-06   2.7904e+09   2.7904e+09
  1.7699e+01   1.7890e+01   2.8822e+00  -1.1774e-05   2.9197e-06   7.5073e-06   4.3875e+09   4.3875e+09
  2.2281e+01   2.2519e+01   3.1124e+00  -6.0881e-06  -2.7995e-07   7.0890e-06   6.9073e+09   6.9073e+09
  2.8050e+01   2.8352e+01   3.3427e+00  -9.5284e-06  -1.0031e-06   7.1425e-06   1.0835e+10   1.0835e+10
  3.5313e+01   3.5691e+01   3.5729e+00  -6.5239e-06   1.9415e-06   8.2456e-06   1.6996e+10   1.6996e+10
  4.4457e+01   4.4930e+01   3.8031e+00  -3.9861e-06   1.1466e-06   1.0045e-05   2.6601e+10   2.6601e+10
  5.5968e+01   5.6563e+01   4.0333e+00  -7.0300e-06  -9.6862e-07   1.3565e-05   4.1548e+10   4.1548e+10
  7.0460e+01   7.1204e+01   4.2635e+00  -6.0272e-07   1.9992e-06   1.7082e-05   6.4696e+10   6.4696e+10
  8.8703e+01   8.9638e+01   4.4937e+00   5.4323e-06   6.7027e-06   2.1582e-05   1.0039e+11   1.0039e+11
  1.1167e+02   1.1285e+02   4.7240e+00  -2.5528e-06   9.4519e-06   2.5258e-05   1.5570e+11   1.5570e+11
  1.4059e+02   1.4206e+02   4.9542e+00  -6.3584e-06   5.2157e-06   3.0607e-05   2.4079e+11   2.4079e+11
  1.7699e+02   1.7884e+02   5.1844e+00  -9.2257e-06   7.2751e-06   3.7160e-05   3.6992e+11   3.6992e+11
  2.2281e+02   2.2512e+02   5.4145e+00  -1.3220e-05   1.3967e-05   4.4652e-05   5.6377e+11   5.6377e+11
