## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.8050e+00   2.8339e+00   1.0397e+00   6.3136e-01   6.7494e-04   1.3975e+06   1.3975e+06
  3.5313e+00   3.5693e+00   1.2704e+00   6.3229e-01   5.3904e-04   2.1910e+06   2.1910e+06
  4.4457e+00   4.4934e+00   1.5007e+00   6.3236e-01   4.2876e-04   3.4631e+06   3.4631e+06
  5.5968e+00   5.6572e+00   1.7310e+00   6.3159e-01   3.4112e-04   5.4709e+06   5.4709e+06
  7.0460e+00   7.1219e+00   1.9612e+00   6.3169e-01   2.7141e-04   8.6427e+06   8.6427e+06
  8.8703e+00   8.9662e+00   2.1915e+00   6.3193e-01   2.1598e-04   1.3648e+07   1.3648e+07
  1.1167e+01   1.1288e+01   2.4217e+00   6.3207e-01   1.7194e-04   2.1534e+07   2.1534e+07
  1.4059e+01   1.4210e+01   2.6520e+00   6.3203e-01   1.3692e-04   3.3960e+07   3.3960e+07
  1.7699e+01   1.7889e+01   2.8822e+00   6.3210e-01   1.0905e-04   5.3534e+07   5.3534e+07
  2.2281e+01   2.2520e+01   3.1124e+00   6.3240e-01   8.6933e-05   8.4239e+07   8.4239e+07
  2.8050e+01   2.8351e+01   3.3427e+00   6.3270e-01   6.9321e-05   1.3248e+08   1.3248e+08
  3.5313e+01   3.5690e+01   3.5729e+00   6.3310e-01   5.5406e-05   2.0738e+08   2.0738e+08
  4.4457e+01   4.4927e+01   3.8030e+00   6.3353e-01   4.4358e-05   3.2355e+08   3.2355e+08
  5.5968e+01   5.6550e+01   4.0331e+00   6.3386e-01   3.5624e-05   5.0164e+08   5.0164e+08
  7.0460e+01   7.1181e+01   4.2632e+00   6.3432e-01   2.8765e-05   7.6943e+08   7.6943e+08
  8.8703e+01   8.9588e+01   4.4932e+00   6.3502e-01   2.3346e-05   1.1680e+09   1.1680e+09
  1.1167e+02   1.1276e+02   4.7232e+00   6.3586e-01   1.9091e-05   1.7467e+09   1.7467e+09
  1.4059e+02   1.4188e+02   4.9530e+00   6.3643e-01   1.5787e-05   2.5543e+09   2.5543e+09
  1.7699e+02   1.7858e+02   5.1830e+00   6.3509e-01   1.3178e-05   3.6661e+09   3.6661e+09
  2.2281e+02   2.2444e+02   5.4116e+00   6.3189e-01   1.1282e-05   5.0020e+09   5.0020e+09
