## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.8050e+00   2.8341e+00   1.0398e+00   3.0904e-03   2.0912e-04   6.3120e+05   6.3120e+05
  3.5313e+00   3.5690e+00   1.2703e+00   2.9025e-03   1.6700e-04   9.8978e+05   9.8978e+05
  4.4457e+00   4.4932e+00   1.5006e+00   3.0744e-03   1.3302e-04   1.5600e+06   1.5600e+06
  5.5968e+00   5.6567e+00   1.7309e+00   3.1172e-03   1.0602e-04   2.4559e+06   2.4559e+06
  7.0460e+00   7.1202e+00   1.9610e+00   2.9775e-03   8.4516e-05   3.8645e+06   3.8645e+06
  8.8703e+00   8.9659e+00   2.1915e+00   3.0808e-03   6.7313e-05   6.0922e+06   6.0922e+06
  1.1167e+01   1.1285e+01   2.4215e+00   3.0014e-03   5.3646e-05   9.5917e+06   9.5917e+06
  1.4059e+01   1.4208e+01   2.6518e+00   3.0348e-03   4.2910e-05   1.4992e+07   1.4992e+07
  1.7699e+01   1.7887e+01   2.8821e+00   2.9064e-03   3.4298e-05   2.3466e+07   2.3466e+07
  2.2281e+01   2.2514e+01   3.1122e+00   2.9166e-03   2.7456e-05   3.6619e+07   3.6619e+07
  2.8050e+01   2.8346e+01   3.3425e+00   2.7597e-03   2.2038e-05   5.6836e+07   5.6836e+07
  3.5313e+01   3.5683e+01   3.5727e+00   2.7397e-03   1.7693e-05   8.8175e+07   8.8175e+07
  4.4457e+01   4.4922e+01   3.8029e+00   2.7511e-03   1.4225e-05   1.3642e+08   1.3642e+08
  5.5968e+01   5.6552e+01   4.0332e+00   2.6977e-03   1.1432e-05   2.1121e+08   2.1121e+08
  7.0460e+01   7.1187e+01   4.2633e+00   2.4012e-03   9.2064e-06   3.2568e+08   3.2568e+08
  8.8703e+01   8.9589e+01   4.4932e+00   2.1082e-03   7.4656e-06   4.9527e+08   4.9527e+08
  1.1167e+02   1.1277e+02   4.7233e+00   1.7684e-03   6.0927e-06   7.4363e+08   7.4363e+08
  1.4059e+02   1.4196e+02   4.9535e+00   1.3760e-03   4.9844e-06   1.1111e+09   1.1111e+09
  1.7699e+02   1.7859e+02   5.1831e+00   8.3599e-04   4.1180e-06   1.6278e+09   1.6278e+09
  2.2281e+02   2.2438e+02   5.4113e+00   5.0113e-04   3.5541e-06   2.1852e+09   2.1852e+09
