# 
# meanr   jkmean  jkerr
2.805000000000000160e+00 2.725020380091154170e-03 2.269275577508481697e-04
3.531299999999999883e+00 2.255676600649908579e-03 2.117124270167695141e-04
4.445700000000000429e+00 1.498122347577455268e-03 1.604899620849921729e-04
5.596799999999999997e+00 1.297024374700372429e-03 1.384686642059957491e-04
7.046000000000000263e+00 7.082117249298139176e-04 9.891917572260440169e-05
8.870300000000000296e+00 6.448931101260166028e-04 8.075392931560529484e-05
1.116699999999999982e+01 6.717889144497716418e-04 6.870242984560720858e-05
1.405899999999999928e+01 4.436477787546280879e-04 5.897853823953443445e-05
1.769900000000000162e+01 3.433948822420015263e-04 5.210861993838298043e-05
2.228099999999999881e+01 3.324179799951355505e-04 3.749890283665149448e-05
2.805000000000000071e+01 2.950297097085345459e-04 3.469817773827190734e-05
3.531300000000000239e+01 2.214781758191752955e-04 3.284504578255921628e-05
4.445700000000000074e+01 1.898837841910754227e-04 2.323744153018224607e-05
5.596800000000000352e+01 1.627954759164844465e-04 2.327098012965776584e-05
7.045999999999999375e+01 1.418331046484103076e-04 2.249353581448187744e-05
8.870300000000000296e+01 1.084742241237406356e-04 1.893646464870285477e-05
1.116700000000000017e+02 9.660283641731989357e-05 1.708809041738565515e-05
1.405900000000000034e+02 1.000733489710302977e-04 1.868805429918768914e-05
1.769900000000000091e+02 6.612569157208697231e-05 1.479788368020865080e-05
2.228100000000000023e+02 3.575129951351794079e-05 1.303796391172708588e-05
