# 
# meanr   jkmean  jkerr
2.805000000000000160e+00 2.529711407671076610e-03 2.126188688195302929e-04
3.531299999999999883e+00 2.164690728810978512e-03 2.091039566952234557e-04
4.445700000000000429e+00 1.425431564494199221e-03 1.508284219553078932e-04
5.596799999999999997e+00 1.235398860050473946e-03 1.341387647026980100e-04
7.046000000000000263e+00 6.686453815519079538e-04 9.274016198229271483e-05
8.870300000000000296e+00 6.074234363847868688e-04 7.635479053704231629e-05
1.116699999999999982e+01 6.321276821096089363e-04 6.622304803159316750e-05
1.405899999999999928e+01 4.201858168382093797e-04 5.604607753023631192e-05
1.769900000000000162e+01 3.253603726269477052e-04 4.995600455725427363e-05
2.228099999999999881e+01 3.149136367342852505e-04 3.553690655234251921e-05
2.805000000000000071e+01 2.802199964530488257e-04 3.273528384024239080e-05
3.531300000000000239e+01 2.102853388412346625e-04 3.118873391477664880e-05
4.445700000000000074e+01 1.807749801676266429e-04 2.233330558538890368e-05
5.596800000000000352e+01 1.546188575606531883e-04 2.233457805558270966e-05
7.045999999999999375e+01 1.350711704955356125e-04 2.151780333000586322e-05
8.870300000000000296e+01 1.032648558569983829e-04 1.803555479891404711e-05
1.116700000000000017e+02 9.191469424909107808e-05 1.625455392441947986e-05
1.405900000000000034e+02 9.526384068305943412e-05 1.781946162273209834e-05
1.769900000000000091e+02 6.287719647232151328e-05 1.410135017938722620e-05
2.228100000000000023e+02 3.398984503379235995e-05 1.240787924567028282e-05
