# 
# meanr   jkmean  jkerr
2.805000000000000160e+00 2.546164742310199920e-03 2.059269932839319589e-04
3.531299999999999883e+00 2.168950455069160958e-03 2.015501998305201526e-04
4.445700000000000429e+00 1.420140751204922993e-03 1.493588352013664161e-04
5.596799999999999997e+00 1.233436608682195006e-03 1.298948161571799524e-04
7.046000000000000263e+00 6.808485474660080309e-04 9.445153298456519504e-05
8.870300000000000296e+00 6.145552664888596526e-04 7.550722245106224380e-05
1.116699999999999982e+01 6.402238351871912016e-04 6.468154053965342876e-05
1.405899999999999928e+01 4.215246387712197817e-04 5.547432318653288552e-05
1.769900000000000162e+01 3.260525098213431974e-04 4.919951091397115181e-05
2.228099999999999881e+01 3.158648411519816824e-04 3.540758694034791548e-05
2.805000000000000071e+01 2.807997384472838234e-04 3.261501697326920393e-05
3.531300000000000239e+01 2.111169931926114762e-04 3.098553300066721834e-05
4.445700000000000074e+01 1.809307449038422130e-04 2.205572658870896986e-05
5.596800000000000352e+01 1.550461233467444861e-04 2.232880131762511879e-05
7.045999999999999375e+01 1.349172286584586998e-04 2.154925404489265947e-05
8.870300000000000296e+01 1.032823245832134205e-04 1.808484896835198689e-05
1.116700000000000017e+02 9.194710613462138817e-05 1.621531328544521006e-05
1.405900000000000034e+02 9.530083510413131314e-05 1.777645061472796274e-05
1.769900000000000091e+02 6.290303858493756300e-05 1.411058358656929975e-05
2.228100000000000023e+02 3.397886430465037069e-05 1.237151189357101783e-05
