# 
# meanr   jkmean  jkerr
2.805000000000000160e+00 -1.375122547116536996e-05 4.174787641542609761e-05
3.531299999999999883e+00 4.011760734382767093e-05 4.241138158527625281e-05
4.445700000000000429e+00 3.712175356221204619e-05 3.312998240466499681e-05
5.596799999999999997e+00 -1.565244361358572071e-05 2.865544740797559966e-05
7.046000000000000263e+00 1.292323721675383868e-05 2.413035152228644234e-05
8.870300000000000296e+00 1.532629784258162419e-05 2.083328950469878706e-05
1.116699999999999982e+01 -8.622741856605530984e-06 1.838886343421878051e-05
1.405899999999999928e+01 -3.594325760818878649e-05 1.882182515145529653e-05
1.769900000000000162e+01 -5.779477369672396630e-06 1.926079565349386055e-05
2.228099999999999881e+01 -9.449754216953180652e-07 1.974963405684337255e-05
2.805000000000000071e+01 -9.466771146417259317e-06 2.137828111166813761e-05
3.531300000000000239e+01 -8.057573565628857882e-06 2.478007677204579245e-05
4.445700000000000074e+01 -4.178370336448150370e-06 2.961594736712263687e-05
5.596800000000000352e+01 4.768445751535274423e-06 3.734102775681605177e-05
7.045999999999999375e+01 2.184573994362377672e-05 4.361361873925084521e-05
8.870300000000000296e+01 4.616578905693893634e-06 5.264903227214994897e-05
1.116700000000000017e+02 -2.320073788198571441e-06 6.024341615260349239e-05
1.405900000000000034e+02 -7.806256513859684469e-06 7.110760485746920050e-05
1.769900000000000091e+02 -2.052476261281353776e-05 7.778605321029630735e-05
2.228100000000000023e+02 -4.780602151413476219e-05 8.453927686664299988e-05
