# 
# meanr   jkmean  jkerr
2.805000000000000160e+00 2.523400107083054091e-03 2.118786360346354208e-04
3.531299999999999883e+00 2.158342943341154917e-03 2.083982543755632220e-04
4.445700000000000429e+00 1.423046305931106046e-03 1.506878880917540968e-04
5.596799999999999997e+00 1.233176509159152881e-03 1.337804191960822076e-04
7.046000000000000263e+00 6.678918045876716539e-04 9.271514090403031483e-05
8.870300000000000296e+00 6.068100153709706087e-04 7.627646426486511767e-05
1.116699999999999982e+01 6.317499630582633710e-04 6.631369119618523496e-05
1.405899999999999928e+01 4.198795570412502129e-04 5.601937369398642699e-05
1.769900000000000162e+01 3.250675826803248441e-04 4.995766281251492536e-05
2.228099999999999881e+01 3.146855651446788709e-04 3.552646420177790607e-05
2.805000000000000071e+01 2.799259507181314321e-04 3.273378157287801102e-05
3.531300000000000239e+01 2.100630833206888878e-04 3.116604308207283430e-05
4.445700000000000074e+01 1.806555364660807300e-04 2.228555050352606955e-05
5.596800000000000352e+01 1.545800294057662341e-04 2.231179755554275426e-05
7.045999999999999375e+01 1.350020696257094195e-04 2.149679693532413087e-05
8.870300000000000296e+01 1.032062583972886743e-04 1.802979118463135289e-05
1.116700000000000017e+02 9.188344463731358200e-05 1.624811024962001513e-05
1.405900000000000034e+02 9.524955743710562578e-05 1.781714145200599453e-05
1.769900000000000091e+02 6.288955018537679086e-05 1.410497271743949626e-05
2.228100000000000023e+02 3.397279798371956148e-05 1.243573626389730789e-05
