# 
# meanr   jkmean  jkerr
2.805000000000000160e+00 5.556068614843602260e-01 5.686944627988290042e-03
3.531299999999999883e+00 5.543122323435851762e-01 5.650446695709077961e-03
4.445700000000000429e+00 5.542016227386671323e-01 5.784437454375438228e-03
5.596799999999999997e+00 5.552121573698250989e-01 5.784436115044747605e-03
7.046000000000000263e+00 5.539395298158104053e-01 5.687202571122549136e-03
8.870300000000000296e+00 5.540913925401432794e-01 5.740517431449120023e-03
1.116699999999999982e+01 5.547173343830364978e-01 5.708551727391178617e-03
1.405899999999999928e+01 5.547649952125387474e-01 5.606000707949633684e-03
1.769900000000000162e+01 5.537643671922901634e-01 5.539359111156036408e-03
2.228099999999999881e+01 5.542050824835584866e-01 5.444744949708230954e-03
2.805000000000000071e+01 5.542388250282348494e-01 5.358351316322938242e-03
3.531300000000000239e+01 5.550711753508289492e-01 5.224577894753339342e-03
4.445700000000000074e+01 5.547073154238313375e-01 5.103688726224087265e-03
5.596800000000000352e+01 5.543606840564245797e-01 4.874248546801353624e-03
7.045999999999999375e+01 5.540532341705094455e-01 4.524420785316197839e-03
8.870300000000000296e+01 5.539114520432584232e-01 4.140473613600585689e-03
1.116700000000000017e+02 5.538825603171860790e-01 3.692973849239335540e-03
1.405900000000000034e+02 5.547482415532842825e-01 3.230205403312856084e-03
1.769900000000000091e+02 5.545588177444250588e-01 2.799845211534324370e-03
2.228100000000000023e+02 5.534061766074418465e-01 2.550945504384744683e-03
