## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.8050e+00   2.8414e+00   1.0423e+00   5.7480e-01   6.8244e-02   1.3599e+02   9.7500e+02
  3.5313e+00   3.5740e+00   1.2717e+00   5.6344e-01   5.4651e-02   2.1205e+02   1.4350e+03
  4.4457e+00   4.5158e+00   1.5056e+00   5.4279e-01   4.2804e-02   3.4568e+02   2.2800e+03
  5.5968e+00   5.6666e+00   1.7326e+00   5.4298e-01   3.5644e-02   4.9849e+02   3.4750e+03
  7.0460e+00   7.1049e+00   1.9589e+00   5.3120e-01   2.8255e-02   7.9331e+02   5.3210e+03
  8.8703e+00   8.9694e+00   2.1919e+00   5.4175e-01   2.2515e-02   1.2494e+03   8.1890e+03
  1.1167e+01   1.1271e+01   2.4202e+00   5.2797e-01   1.8146e-02   1.9235e+03   1.2454e+04
  1.4059e+01   1.4193e+01   2.6509e+00   5.2391e-01   1.5153e-02   2.7585e+03   1.8470e+04
  1.7699e+01   1.7868e+01   2.8810e+00   5.1899e-01   1.2399e-02   4.1195e+03   2.7319e+04
  2.2281e+01   2.2491e+01   3.1112e+00   5.1853e-01   1.0216e-02   6.0680e+03   4.0669e+04
  2.8050e+01   2.8379e+01   3.3437e+00   5.2748e-01   8.2500e-03   9.3053e+03   6.2879e+04
  3.5313e+01   3.5709e+01   3.5734e+00   5.2870e-01   6.5715e-03   1.4666e+04   9.7967e+04
  4.4457e+01   4.4982e+01   3.8043e+00   5.2057e-01   5.1457e-03   2.3919e+04   1.5531e+05
  5.5968e+01   5.6632e+01   4.0346e+00   5.2854e-01   3.9729e-03   4.0126e+04   2.5605e+05
  7.0460e+01   7.1049e+01   4.2614e+00   5.4155e-01   3.1753e-03   6.2815e+04   3.8578e+05
  8.8703e+01   8.9408e+01   4.4913e+00   5.3980e-01   2.7172e-03   8.5785e+04   5.1967e+05
  1.1167e+02   1.1304e+02   4.7258e+00   5.3596e-01   2.2081e-03   1.2990e+05   7.9317e+05
  1.4059e+02   1.4206e+02   4.9543e+00   5.3520e-01   1.6551e-03   2.3121e+05   1.3938e+06
  1.7699e+02   1.7826e+02   5.1812e+00   5.3781e-01   1.3658e-03   3.3951e+05   2.0578e+06
  2.2281e+02   2.2377e+02   5.4086e+00   5.4805e-01   1.2140e-03   4.2972e+05   2.6202e+06
