## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr       gamT         gamX        sigma        weight       npairs   
  2.8050e+00   2.8340e+00   1.0397e+00   1.9346e-03   4.9681e-03   5.7855e-03   8.1081e+02   4.6690e+03
  3.5313e+00   3.5694e+00   1.2704e+00   1.5546e-03   5.6370e-03   4.6368e-03   1.2623e+03   7.4200e+03
  4.4457e+00   4.4886e+00   1.4996e+00   6.9453e-04  -5.5976e-03   3.8368e-03   1.8436e+03   1.1265e+04
  5.5968e+00   5.6564e+00   1.7308e+00  -1.0326e-03  -7.2862e-04   3.0455e-03   2.9261e+03   1.7644e+04
  7.0460e+00   7.1201e+00   1.9610e+00   2.4450e-03  -6.4921e-04   2.4311e-03   4.5920e+03   2.7458e+04
  8.8703e+00   8.9596e+00   2.1908e+00  -1.2771e-03  -2.4976e-03   1.9356e-03   7.2436e+03   4.3278e+04
  1.1167e+01   1.1278e+01   2.4209e+00  -1.9979e-04  -8.7730e-05   1.5633e-03   1.1105e+04   6.6885e+04
  1.4059e+01   1.4208e+01   2.6519e+00  -4.2500e-04  -1.2594e-03   1.2557e-03   1.7212e+04   1.0278e+05
  1.7699e+01   1.7892e+01   2.8824e+00  -8.1749e-04   2.5867e-05   1.0200e-03   2.6084e+04   1.5828e+05
  2.2281e+01   2.2507e+01   3.1119e+00   1.2164e-03   1.1009e-04   8.2171e-04   4.0194e+04   2.4540e+05
  2.8050e+01   2.8335e+01   3.3421e+00   4.4617e-05  -7.7514e-04   6.6646e-04   6.1102e+04   3.6833e+05
  3.5313e+01   3.5648e+01   3.5717e+00  -1.2156e-04  -2.2110e-03   5.4478e-04   9.1444e+04   5.5036e+05
  4.4457e+01   4.4886e+01   3.8022e+00   7.6176e-05  -1.8181e-03   4.4971e-04   1.3419e+05   8.0541e+05
  5.5968e+01   5.6451e+01   4.0314e+00  -1.8010e-03  -1.6666e-03   3.7099e-04   1.9719e+05   1.1820e+06
  7.0460e+01   7.1054e+01   4.2615e+00  -3.4076e-04  -2.0469e-03   3.1331e-04   2.7647e+05   1.6637e+06
  8.8703e+01   8.9514e+01   4.4924e+00  -2.4528e-04  -1.1437e-03   2.6215e-04   3.9490e+05   2.3519e+06
  1.1167e+02   1.1307e+02   4.7260e+00   1.2749e-04   7.5861e-04   2.0847e-04   6.2447e+05   3.7070e+06
  1.4059e+02   1.4261e+02   4.9582e+00   4.7112e-05   1.2663e-03   1.5463e-04   1.1350e+06   6.7347e+06
  1.7699e+02   1.7850e+02   5.1826e+00  -4.4660e-04  -9.1484e-04   1.2060e-04   1.8661e+06   1.1096e+07
  2.2281e+02   2.2520e+02   5.4150e+00  -6.8528e-04  -4.6797e-04   1.0041e-04   2.6918e+06   1.6083e+07
