## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr       gamT         gamX        sigma        weight       npairs   
  2.8050e+00   2.8343e+00   1.0398e+00   1.3854e-03   9.7974e-05   1.1465e-04   9.9240e+05   5.7289e+06
  3.5313e+00   3.5683e+00   1.2701e+00   1.2838e-03  -1.1511e-04   1.0960e-04   1.5560e+06   8.9871e+06
  4.4457e+00   4.4928e+00   1.5005e+00   8.7996e-04   3.8330e-05   8.7550e-05   2.4403e+06   1.4121e+07
  5.5968e+00   5.6558e+00   1.7308e+00   6.8688e-04   3.8116e-05   6.5887e-05   3.8385e+06   2.2221e+07
  7.0460e+00   7.1206e+00   1.9611e+00   3.8591e-04   5.9300e-05   5.3917e-05   6.0308e+06   3.4952e+07
  8.8703e+00   8.9656e+00   2.1915e+00   3.6922e-04  -1.1592e-05   4.6930e-05   9.5083e+06   5.5122e+07
  1.1167e+01   1.1285e+01   2.4216e+00   3.7988e-04   9.3351e-05   3.9370e-05   1.5023e+07   8.7036e+07
  1.4059e+01   1.4208e+01   2.6519e+00   2.3546e-04   3.3746e-05   3.2287e-05   2.3598e+07   1.3681e+08
  1.7699e+01   1.7888e+01   2.8822e+00   1.9554e-04   4.4431e-07   2.5245e-05   3.7115e+07   2.1517e+08
  2.2281e+01   2.2518e+01   3.1124e+00   1.8331e-04  -4.3227e-06   2.2263e-05   5.8431e+07   3.3889e+08
  2.8050e+01   2.8352e+01   3.3427e+00   1.6323e-04  -1.1229e-05   2.2334e-05   9.1687e+07   5.3202e+08
  3.5313e+01   3.5690e+01   3.5729e+00   1.2597e-04  -1.2769e-05   2.2085e-05   1.4390e+08   8.3518e+08
  4.4457e+01   4.4930e+01   3.8031e+00   1.0895e-04   8.6275e-06   2.0325e-05   2.2522e+08   1.3076e+09
  5.5968e+01   5.6564e+01   4.0333e+00   8.6528e-05  -8.2240e-06   2.2242e-05   3.5175e+08   2.0433e+09
  7.0460e+01   7.1207e+01   4.2636e+00   9.4153e-05  -1.1056e-07   2.4650e-05   5.4797e+08   3.1848e+09
  8.8703e+01   8.9640e+01   4.4938e+00   6.6843e-05   7.9299e-06   2.4259e-05   8.5058e+08   4.9467e+09
  1.1167e+02   1.1286e+02   4.7240e+00   4.9053e-05   4.9294e-06   2.8611e-05   1.3196e+09   7.6787e+09
  1.4059e+02   1.4207e+02   4.9542e+00   4.9421e-05   1.1094e-06   3.7222e-05   2.0405e+09   1.1880e+10
  1.7699e+02   1.7884e+02   5.1844e+00   2.2869e-05  -1.6258e-05   4.3813e-05   3.1343e+09   1.8258e+10
  2.2281e+02   2.2513e+02   5.4145e+00  -7.9746e-06  -1.6541e-05   4.9521e-05   4.7798e+09   2.7851e+10
