## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.8050e+00   2.8338e+00   1.0396e+00   2.7685e-03   2.0969e-04   6.2808e+05   6.2808e+05
  3.5313e+00   3.5690e+00   1.2703e+00   2.5676e-03   1.6749e-04   9.8447e+05   9.8447e+05
  4.4457e+00   4.4929e+00   1.5005e+00   3.1152e-03   1.3333e-04   1.5536e+06   1.5536e+06
  5.5968e+00   5.6565e+00   1.7308e+00   3.1018e-03   1.0629e-04   2.4444e+06   2.4444e+06
  7.0460e+00   7.1210e+00   1.9611e+00   3.0318e-03   8.4728e-05   3.8471e+06   3.8471e+06
  8.8703e+00   8.9662e+00   2.1915e+00   3.0499e-03   6.7502e-05   6.0611e+06   6.0611e+06
  1.1167e+01   1.1286e+01   2.4216e+00   3.1667e-03   5.3738e-05   9.5636e+06   9.5636e+06
  1.4059e+01   1.4207e+01   2.6518e+00   3.1585e-03   4.2973e-05   1.4955e+07   1.4955e+07
  1.7699e+01   1.7887e+01   2.8821e+00   3.0708e-03   3.4366e-05   2.3384e+07   2.3384e+07
  2.2281e+01   2.2514e+01   3.1121e+00   3.1374e-03   2.7512e-05   3.6487e+07   3.6487e+07
  2.8050e+01   2.8347e+01   3.3425e+00   2.9147e-03   2.2087e-05   5.6614e+07   5.6614e+07
  3.5313e+01   3.5683e+01   3.5727e+00   2.8676e-03   1.7735e-05   8.7805e+07   8.7805e+07
  4.4457e+01   4.4923e+01   3.8030e+00   2.8327e-03   1.4249e-05   1.3603e+08   1.3603e+08
  5.5968e+01   5.6552e+01   4.0332e+00   2.7829e-03   1.1447e-05   2.1077e+08   2.1077e+08
  7.0460e+01   7.1186e+01   4.2633e+00   2.5633e-03   9.2202e-06   3.2487e+08   3.2487e+08
  8.8703e+01   8.9590e+01   4.4932e+00   2.2692e-03   7.4746e-06   4.9432e+08   4.9432e+08
  1.1167e+02   1.1277e+02   4.7234e+00   2.0093e-03   6.0992e-06   7.4241e+08   7.4241e+08
  1.4059e+02   1.4196e+02   4.9535e+00   1.6401e-03   4.9876e-06   1.1102e+09   1.1102e+09
  1.7699e+02   1.7859e+02   5.1831e+00   1.1213e-03   4.1194e-06   1.6275e+09   1.6275e+09
  2.2281e+02   2.2438e+02   5.4113e+00   8.5089e-04   3.5556e-06   2.1845e+09   2.1845e+09
