# filename: wtheta.txt 
# description: DMASS angular galaxy custering (w) signals 
#  
# if you use this file, cite these papers below:
# http://arxiv.org/abs/1906.01136 
# http://arxiv.org/abs/2104.11319 
#  
# ang[arcmin] 	 bin1
2.805046135754908576e+00 2.041600000000000081e-01
3.531343861556885511e+00 1.711699999999999888e-01
4.445698525097306231e+00 1.474300000000000055e-01
5.596802846420849242e+00 1.255499999999999949e-01
7.045957328161132516e+00 1.055999999999999994e-01
8.870334730839386950e+00 8.703900000000000525e-02
1.116708980377407912e+01 7.653899999999999593e-02
1.405853312975872704e+01 6.241900000000000226e-02
1.769864460960344488e+01 5.217999999999999722e-02
2.228127345334363341e+01 4.214600000000000291e-02
2.805046135754907866e+01 3.380600000000000271e-02
3.531343861556884889e+01 2.758299999999999988e-02
4.445698525097307652e+01 2.071699999999999930e-02
5.596802846420851552e+01 1.574400000000000105e-02
7.045957328161131272e+01 1.276300000000000004e-02
8.870334730839388726e+01 9.311800000000000285e-03
1.116708980377407130e+02 6.264900000000000330e-03
1.405853312975872882e+02 3.964600000000000415e-03
1.769864460960343422e+02 2.313299999999999905e-03
2.228127345334363838e+02 6.604700000000000241e-04
