# filename: cov_2x2pt.txt 
# description: Combined covariance matrix of DMASS angular galaxy custering (w) and 
# galaxy-galaxy lensing. 
# Consists of auto-covariance of 4 galaxy-galaxy lensing spectra (80 bins) and 
# 1 angular clustering spectra (20 bins), and cross-covariance of them 
# Each sub-block has a size of 20x20. Total size is 100x100. 
# 
# if you use this file, cite these papers below:
# http://arxiv.org/abs/1906.01136 
# http://arxiv.org/abs/2104.11319 
# https://arxiv.org/abs/1601.05779 
# 
# bin-index1 	 bin-index2 	 cov-mat 
1 	 1 	 2.5275620e-08
1 	 2 	 8.2795620e-10
1 	 3 	 3.9542950e-10
1 	 4 	 1.8051160e-10
1 	 5 	 8.2108720e-11
1 	 6 	 3.8740420e-11
1 	 7 	 1.9324760e-11
1 	 8 	 1.0248950e-11
1 	 9 	 5.7388160e-12
1 	 10 	 3.3331770e-12
1 	 11 	 1.9638590e-12
1 	 12 	 1.1552310e-12
1 	 13 	 6.7411880e-13
1 	 14 	 3.8558590e-13
1 	 15 	 2.1630060e-13
1 	 16 	 1.1247970e-13
1 	 17 	 6.2862980e-14
1 	 18 	 3.3191460e-14
1 	 19 	 1.5809320e-14
1 	 20 	 7.5814790e-15
1 	 21 	 1.5959830e-11
1 	 22 	 1.2504900e-11
1 	 23 	 8.1801160e-12
1 	 24 	 5.1560000e-12
1 	 25 	 3.1609420e-12
1 	 26 	 1.9003150e-12
1 	 27 	 1.1323470e-12
1 	 28 	 6.7916490e-13
1 	 29 	 4.1688910e-13
1 	 30 	 2.6507000e-13
1 	 31 	 1.7516960e-13
1 	 32 	 1.2023050e-13
1 	 33 	 8.4104270e-14
1 	 34 	 5.8960210e-14
1 	 35 	 4.2029740e-14
1 	 36 	 2.9477630e-14
1 	 37 	 2.0031030e-14
1 	 38 	 1.3343840e-14
1 	 39 	 8.5322240e-15
1 	 40 	 4.7613480e-15
1 	 41 	 2.1685580e-11
1 	 42 	 1.6836910e-11
1 	 43 	 1.0870130e-11
1 	 44 	 6.7614620e-12
1 	 45 	 4.0931990e-12
1 	 46 	 2.4342550e-12
1 	 47 	 1.4393080e-12
1 	 48 	 8.6018060e-13
1 	 49 	 5.2859060e-13
1 	 50 	 3.3819130e-13
1 	 51 	 2.2519340e-13
1 	 52 	 1.5609840e-13
1 	 53 	 1.1023900e-13
1 	 54 	 7.8719230e-14
1 	 55 	 5.5905440e-14
1 	 56 	 3.9335280e-14
1 	 57 	 2.6874960e-14
1 	 58 	 1.7701310e-14
1 	 59 	 1.1246090e-14
1 	 60 	 6.0113950e-15
1 	 61 	 2.4610000e-11
1 	 62 	 1.8992510e-11
1 	 63 	 1.2170350e-11
1 	 64 	 7.5225310e-12
1 	 65 	 4.5303180e-12
1 	 66 	 2.6840020e-12
1 	 67 	 1.5838740e-12
1 	 68 	 9.4699570e-13
1 	 69 	 5.8356940e-13
1 	 70 	 3.7480120e-13
1 	 71 	 2.5106660e-13
1 	 72 	 1.7497420e-13
