## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log', 'tot': 933334294.2340373}
#   r_nom       meanr       meanlogr        xi        sigma_xi        DD           RR         npairs   
  2.8050e+00   2.8324e+00   1.0392e+00   4.6806e-02   3.4559e-03   3.4572e+04   3.3026e+04   2.2071e+05
  3.5313e+00   3.5669e+00   1.2698e+00   4.3860e-02   2.7704e-03   5.3643e+04   5.1389e+04   3.4199e+05
  4.4457e+00   4.4906e+00   1.5001e+00   3.3046e-02   2.2176e-03   8.2853e+04   8.0203e+04   5.3004e+05
  5.5968e+00   5.6556e+00   1.7308e+00   3.3667e-02   1.7761e-03   1.2925e+05   1.2504e+05   8.2409e+05
  7.0460e+00   7.1214e+00   1.9612e+00   3.0511e-02   1.4194e-03   2.0175e+05   1.9578e+05   1.2887e+06
  8.8703e+00   8.9664e+00   2.1916e+00   3.5369e-02   1.1328e-03   3.1822e+05   3.0735e+05   2.0251e+06
  1.1167e+01   1.1284e+01   2.4214e+00   3.2089e-02   9.0174e-04   5.0064e+05   4.8507e+05   3.1904e+06
  1.4059e+01   1.4205e+01   2.6516e+00   2.9784e-02   7.2246e-04   7.7820e+05   7.5569e+05   4.9592e+06
  1.7699e+01   1.7888e+01   2.8822e+00   2.7632e-02   5.7880e-04   1.2099e+06   1.1774e+06   7.7219e+06
  2.2281e+01   2.2510e+01   3.1120e+00   3.0313e-02   4.6320e-04   1.8941e+06   1.8384e+06   1.2048e+07
  2.8050e+01   2.8342e+01   3.3424e+00   2.1674e-02   3.7237e-04   2.9062e+06   2.8446e+06   1.8530e+07
  3.5313e+01   3.5678e+01   3.5725e+00   1.6588e-02   3.0006e-04   4.4533e+06   4.3807e+06   2.8502e+07
  4.4457e+01   4.4908e+01   3.8026e+00   1.7814e-02   2.4249e-04   6.8275e+06   6.7080e+06   4.3709e+07
  5.5968e+01   5.6528e+01   4.0327e+00   1.8885e-02   1.9655e-04   1.0403e+07   1.0210e+07   6.6820e+07
  7.0460e+01   7.1194e+01   4.2634e+00   2.0582e-02   1.5926e-04   1.5872e+07   1.5551e+07   1.0196e+08
  8.8703e+01   8.9617e+01   4.4935e+00   1.6338e-02   1.2836e-04   2.4332e+07   2.3941e+07   1.5686e+08
  1.1167e+02   1.1293e+02   4.7247e+00   2.9464e-03   1.0155e-04   3.8359e+07   3.8247e+07   2.4762e+08
  1.4059e+02   1.4211e+02   4.9546e+00  -9.3843e-03   7.9580e-05   6.1697e+07   6.2281e+07   3.9495e+08
  1.7699e+02   1.7882e+02   5.1844e+00  -2.0818e-02   6.3370e-05   9.6175e+07   9.8219e+07   6.1042e+08
  2.2281e+02   2.2501e+02   5.4141e+00  -2.4641e-02   5.1695e-05   1.4396e+08   1.4759e+08   9.1050e+08
