## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.8050e+00   2.8271e+00   1.0373e+00   1.0184e-02   8.3335e-03   4.6937e+02   3.2960e+03
  3.5313e+00   3.5618e+00   1.2684e+00   1.8200e-03   6.5593e-03   7.5762e+02   5.1770e+03
  4.4457e+00   4.4788e+00   1.4975e+00   1.2005e-03   5.2283e-03   1.1925e+03   8.0660e+03
  5.5968e+00   5.6572e+00   1.7310e+00   2.4773e-03   4.3438e-03   1.7276e+03   1.2073e+04
  7.0460e+00   7.1178e+00   1.9607e+00  -3.7364e-03   3.5488e-03   2.5882e+03   1.8351e+04
  8.8703e+00   8.9729e+00   2.1923e+00  -5.9835e-03   2.8020e-03   4.1518e+03   2.8848e+04
  1.1167e+01   1.1288e+01   2.4219e+00  -3.6236e-03   2.2680e-03   6.3373e+03   4.4149e+04
  1.4059e+01   1.4209e+01   2.6519e+00   1.1502e-03   1.8359e-03   9.6709e+03   6.8777e+04
  1.7699e+01   1.7877e+01   2.8816e+00   2.3575e-04   1.4977e-03   1.4531e+04   1.0085e+05
  2.2281e+01   2.2459e+01   3.1097e+00   1.3331e-03   1.2488e-03   2.0902e+04   1.4698e+05
  2.8050e+01   2.8308e+01   3.3412e+00   1.0875e-03   1.0426e-03   2.9989e+04   2.1574e+05
  3.5313e+01   3.5660e+01   3.5721e+00   5.2158e-04   8.7249e-04   4.2821e+04   3.0785e+05
  4.4457e+01   4.4885e+01   3.8021e+00   1.5104e-03   7.2883e-04   6.1365e+04   4.4884e+05
  5.5968e+01   5.6588e+01   4.0338e+00   1.5747e-03   6.0142e-04   9.0120e+04   6.5730e+05
  7.0460e+01   7.1194e+01   4.2634e+00   3.5423e-04   4.8365e-04   1.3935e+05   1.0216e+06
  8.8703e+01   8.9919e+01   4.4969e+00   1.2511e-03   3.8905e-04   2.1535e+05   1.5842e+06
  1.1167e+02   1.1302e+02   4.7256e+00   4.0269e-04   2.9583e-04   3.7246e+05   2.7311e+06
  1.4059e+02   1.4181e+02   4.9525e+00   3.5654e-04   2.4052e-04   5.6348e+05   4.1711e+06
  1.7699e+02   1.7802e+02   5.1799e+00   1.2210e-03   2.0664e-04   7.6335e+05   5.6361e+06
  2.2281e+02   2.2362e+02   5.4078e+00  -1.9926e-04   2.0208e-04   7.9820e+05   5.9098e+06
