## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.8050e+00   2.8305e+00   1.0385e+00  -2.2635e-03   2.2679e-03   6.4183e+03   3.1863e+04
  3.5313e+00   3.5665e+00   1.2697e+00  -4.2884e-03   1.8649e-03   9.4914e+03   4.6468e+04
  4.4457e+00   4.4904e+00   1.5001e+00  -3.6380e-03   1.5376e-03   1.3964e+04   6.9250e+04
  5.5968e+00   5.6456e+00   1.7290e+00  -2.9584e-03   1.2599e-03   2.0795e+04   1.0107e+05
  7.0460e+00   7.1113e+00   1.9598e+00  -3.3610e-03   1.0461e-03   3.0168e+04   1.4620e+05
  8.8703e+00   8.9702e+00   2.1920e+00  -2.1278e-03   8.4639e-04   4.6081e+04   2.2624e+05
  1.1167e+01   1.1264e+01   2.4197e+00  -1.7325e-03   6.7411e-04   7.2644e+04   3.4775e+05
  1.4059e+01   1.4157e+01   2.6483e+00  -1.7655e-03   5.7382e-04   1.0025e+05   4.7553e+05
  1.7699e+01   1.7895e+01   2.8825e+00  -1.5705e-03   4.8877e-04   1.3818e+05   6.6410e+05
  2.2281e+01   2.2416e+01   3.1078e+00  -1.0231e-03   4.0599e-04   2.0028e+05   9.6398e+05
  2.8050e+01   2.8279e+01   3.3401e+00  -1.5679e-03   3.6140e-04   2.5275e+05   1.2810e+06
  3.5313e+01   3.5525e+01   3.5682e+00  -6.5524e-04   3.1855e-04   3.2531e+05   1.6709e+06
  4.4457e+01   4.4803e+01   3.8002e+00  -4.8082e-04   2.8007e-04   4.2086e+05   2.1867e+06
  5.5968e+01   5.6546e+01   4.0330e+00  -5.8924e-04   2.2689e-04   6.4128e+05   3.1613e+06
  7.0460e+01   7.1105e+01   4.2622e+00  -1.3501e-03   1.8394e-04   9.7568e+05   4.6501e+06
  8.8703e+01   8.9383e+01   4.4909e+00  -8.5836e-04   1.5661e-04   1.3458e+06   6.4984e+06
  1.1167e+02   1.1351e+02   4.7299e+00   6.0345e-04   1.2171e-04   2.2284e+06   1.0615e+07
  1.4059e+02   1.4300e+02   4.9609e+00   1.0016e-03   8.0169e-05   5.1362e+06   2.4069e+07
  1.7699e+02   1.7946e+02   5.1879e+00   1.0392e-03   5.6388e-05   1.0382e+07   5.0430e+07
  2.2281e+02   2.2380e+02   5.4087e+00   1.5951e-03   4.6264e-05   1.5423e+07   7.7906e+07
