# 
# meanr   jkmean  jkerr
2.805000000000000160e+00 1.033719275992953657e+00 1.927125366284564763e-03
3.531299999999999883e+00 1.028823402642544460e+00 1.985748346188041628e-03
4.445700000000000429e+00 1.024412388150705233e+00 1.855704257921203830e-03
5.596799999999999997e+00 1.019904525042093058e+00 1.874585161288366570e-03
7.046000000000000263e+00 1.016508185220059701e+00 1.816861495880283143e-03
8.870300000000000296e+00 1.014208271440472320e+00 1.879855670708117672e-03
1.116699999999999982e+01 1.011914906585887008e+00 1.895176876294520389e-03
1.405899999999999928e+01 1.009793492408057380e+00 1.937405119954103191e-03
1.769900000000000162e+01 1.008016287723888960e+00 1.968615149454502108e-03
2.228099999999999881e+01 1.005961069674808028e+00 2.072966546776603899e-03
2.805000000000000071e+01 1.004705489350250724e+00 2.045516960806089465e-03
3.531300000000000239e+01 1.003383792854880774e+00 2.115816273189891246e-03
4.445700000000000074e+01 1.001583521255004605e+00 2.152500136388321543e-03
5.596800000000000352e+01 1.000547545503264413e+00 2.174032817274864759e-03
7.045999999999999375e+01 1.000162921315637332e+00 2.095141105556529680e-03
8.870300000000000296e+01 1.000207215422089790e+00 1.844304528671816129e-03
1.116700000000000017e+02 1.000301035454405962e+00 1.607474954783286733e-03
1.405900000000000034e+02 9.999008544997196601e-01 1.470099899459566175e-03
1.769900000000000091e+02 9.999755079004977176e-01 1.449109443074718699e-03
2.228100000000000023e+02 9.986875618269559496e-01 1.690323351879129436e-03
