# 
# meanr   jkmean  jkerr
2.805000000000000160e+00 9.734075328729445810e-04 1.407513250948569806e-04
3.531299999999999883e+00 9.509692678963691187e-04 9.828053744314425638e-05
4.445700000000000429e+00 6.635187678407976570e-04 8.108919826729628030e-05
5.596799999999999997e+00 5.412346042657760091e-04 6.501406250187326307e-05
7.046000000000000263e+00 3.244594617929624086e-04 5.648859707023173513e-05
8.870300000000000296e+00 2.683651941995644796e-04 4.170528175859589403e-05
1.116699999999999982e+01 2.254265355767952946e-04 4.210185246176192166e-05
1.405899999999999928e+01 1.640003811399857580e-04 2.921534497284376903e-05
1.769900000000000162e+01 1.678804836170337338e-04 2.318560283715476690e-05
2.228099999999999881e+01 1.381850297773919297e-04 2.176969464678943510e-05
2.805000000000000071e+01 9.717886583848235615e-05 1.740579298298092559e-05
3.531300000000000239e+01 1.072926856847782051e-04 1.714906001934018683e-05
4.445700000000000074e+01 7.990450007018053580e-05 1.552416983895730607e-05
5.596800000000000352e+01 7.712639646833145180e-05 1.503647959896705820e-05
7.045999999999999375e+01 6.575586545588398371e-05 1.331034274885833398e-05
8.870300000000000296e+01 5.684557630103974227e-05 1.263467833651970098e-05
1.116700000000000017e+02 4.459988326372509710e-05 1.207599278019753882e-05
1.405900000000000034e+02 3.934036622489748707e-05 1.092365838290554019e-05
1.769900000000000091e+02 2.869331758044297285e-05 8.423489141882441682e-06
2.228100000000000023e+02 1.790110534578505028e-05 8.641350739895696788e-06
