# 
# meanr   jkmean  jkerr
2.805000000000000160e+00 1.004494875931156474e-03 1.450197183341445832e-04
3.531299999999999883e+00 9.770580901789787005e-04 1.009082992066827220e-04
4.445700000000000429e+00 6.780903552519204451e-04 8.272042581936229523e-05
5.596799999999999997e+00 5.522275425422731214e-04 6.600203686917772354e-05
7.046000000000000263e+00 3.298387717404895969e-04 5.719594967935950891e-05
8.870300000000000296e+00 2.724271945704138161e-04 4.231317531928758375e-05
1.116699999999999982e+01 2.279443618774838417e-04 4.251863612124679814e-05
1.405899999999999928e+01 1.655972064953156048e-04 2.946414827527702677e-05
1.769900000000000162e+01 1.691398198906009763e-04 2.330464760583345695e-05
2.228099999999999881e+01 1.389716279370941624e-04 2.185983740869608879e-05
2.805000000000000071e+01 9.765145145966567586e-05 1.749294938598684986e-05
3.531300000000000239e+01 1.076606224236045421e-04 1.719855643882055779e-05
4.445700000000000074e+01 8.004095648186724643e-05 1.553739471377281960e-05
5.596800000000000352e+01 7.716271319748245320e-05 1.507366595041707959e-05
7.045999999999999375e+01 6.576721359086954181e-05 1.331847093352719580e-05
8.870300000000000296e+01 5.685879490261816515e-05 1.264404719946280969e-05
1.116700000000000017e+02 4.461634971590569006e-05 1.206637953949828894e-05
1.405900000000000034e+02 3.933510515074477569e-05 1.091837040112735991e-05
1.769900000000000091e+02 2.869230439017591918e-05 8.425207578166879458e-06
2.228100000000000023e+02 1.786010415979996148e-05 8.651852316666196015e-06
