# 
# meanr   jkmean  jkerr
2.805000000000000160e+00 -3.302395436243750558e-05 1.253742564944047995e-04
3.531299999999999883e+00 3.221839886916888371e-05 1.078824184799136128e-04
4.445700000000000429e+00 3.984543239983756314e-05 7.185359572337654424e-05
5.596799999999999997e+00 -5.431687266036524771e-05 6.124188606967191813e-05
7.046000000000000263e+00 7.047783752774057020e-05 4.695559186430971926e-05
8.870300000000000296e+00 -1.905684939066973967e-05 5.158223425953162880e-05
1.116699999999999982e+01 7.105365093888428385e-06 3.837954828994654581e-05
1.405899999999999928e+01 6.076633177843615959e-05 3.204018709992611976e-05
1.769900000000000162e+01 1.896245771661611701e-05 2.532876890454916738e-05
2.228099999999999881e+01 -1.280450765963739728e-05 2.069671617984759020e-05
2.805000000000000071e+01 -1.072003773565165722e-05 1.655066593930100332e-05
3.531300000000000239e+01 -1.019993110059496283e-05 1.404724978113537874e-05
4.445700000000000074e+01 -9.335273552434442346e-06 1.228126243276574630e-05
5.596800000000000352e+01 1.167242113623105265e-05 1.129671757947134600e-05
7.045999999999999375e+01 1.859043307553613728e-06 8.512758901455712976e-06
8.870300000000000296e+01 7.875680938724961873e-06 9.667870302238288431e-06
1.116700000000000017e+02 1.297625005682445343e-05 9.238830722600181093e-06
1.405900000000000034e+02 6.422443239316230810e-07 8.202688292269508656e-06
1.769900000000000091e+02 4.256290728041815951e-06 6.726285873979387965e-06
2.228100000000000023e+02 -3.655795645711301407e-06 6.307324446257242744e-06
