# 
# meanr   jkmean  jkerr
2.805000000000000160e+00 6.478025608793543944e-01 9.101269957126470467e-03
3.531299999999999883e+00 6.595481914509965238e-01 8.399030262383032006e-03
4.445700000000000429e+00 6.510758186742704456e-01 7.554314493576024143e-03
5.596799999999999997e+00 6.510657081777239119e-01 7.103523701307166462e-03
7.046000000000000263e+00 6.518248402175838008e-01 6.891094234239593386e-03
8.870300000000000296e+00 6.519761108926106496e-01 6.250177715056958946e-03
1.116699999999999982e+01 6.516722726003224553e-01 6.509644327177818886e-03
1.405899999999999928e+01 6.510710229459107934e-01 6.555343062147445977e-03
1.769900000000000162e+01 6.513844823896669523e-01 6.318060469359011201e-03
2.228099999999999881e+01 6.530566640308912429e-01 6.223692276331294938e-03
2.805000000000000071e+01 6.521979638414715508e-01 6.286016242990273041e-03
3.531300000000000239e+01 6.511289900143842901e-01 6.227672541454875796e-03
4.445700000000000074e+01 6.508783091801754184e-01 5.969973953709299848e-03
5.596800000000000352e+01 6.500651589196457802e-01 5.601910658172466924e-03
7.045999999999999375e+01 6.485490575083873166e-01 5.148926791076697054e-03
8.870300000000000296e+01 6.486103018320976688e-01 4.484724790405917628e-03
1.116700000000000017e+02 6.481638091507277988e-01 3.571558873454666952e-03
1.405900000000000034e+02 6.495744321930876364e-01 2.887858181894203784e-03
1.769900000000000091e+02 6.500420867703872174e-01 2.542250402425942635e-03
2.228100000000000023e+02 6.503387009372981753e-01 2.500931548725264519e-03
