# 
# meanr   jkmean  jkerr
2.805000000000000160e+00 6.533074467574739863e-01 6.092673112098360814e-03
3.531299999999999883e+00 6.532785173962513126e-01 5.960935931975762728e-03
4.445700000000000429e+00 6.540006249740248911e-01 6.282932437871771580e-03
5.596799999999999997e+00 6.511929885104634774e-01 6.121442787345486927e-03
7.046000000000000263e+00 6.516687709397770423e-01 6.122981719972817906e-03
8.870300000000000296e+00 6.506788826438538731e-01 6.140358323890943854e-03
1.116699999999999982e+01 6.518687849470077289e-01 6.084547656288821077e-03
1.405899999999999928e+01 6.511494925564758063e-01 6.116418578178173075e-03
1.769900000000000162e+01 6.510295283265347122e-01 6.039160674773067297e-03
2.228099999999999881e+01 6.515508534518733574e-01 6.074747924413397525e-03
2.805000000000000071e+01 6.515951969752117323e-01 5.956044053014026077e-03
3.531300000000000239e+01 6.509546169886605282e-01 5.854202409609168822e-03
4.445700000000000074e+01 6.502492115808191642e-01 5.697513868963592458e-03
5.596800000000000352e+01 6.494876465404075816e-01 5.511511469138413201e-03
7.045999999999999375e+01 6.490591434702844831e-01 5.062809243031466191e-03
8.870300000000000296e+01 6.483357203844395400e-01 4.464225327990498961e-03
1.116700000000000017e+02 6.484723993990236801e-01 3.567082217531961259e-03
1.405900000000000034e+02 6.498656897717054459e-01 2.936690499048806233e-03
1.769900000000000091e+02 6.504533711265214624e-01 2.541841802130403744e-03
2.228100000000000023e+02 6.506143234703590794e-01 2.487687268846599208e-03
