## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.8050e+00   2.8267e+00   1.0372e+00   6.3725e-01   1.6804e-02   2.4392e+03   1.4783e+04
  3.5313e+00   3.5663e+00   1.2697e+00   6.4728e-01   1.3811e-02   3.6110e+03   2.2360e+04
  4.4457e+00   4.4917e+00   1.5003e+00   6.3489e-01   1.1026e-02   5.6656e+03   3.4426e+04
  5.5968e+00   5.6522e+00   1.7302e+00   6.3726e-01   8.8233e-03   8.8474e+03   5.3055e+04
  7.0460e+00   7.1175e+00   1.9607e+00   6.3365e-01   7.1581e-03   1.3442e+04   8.1190e+04
  8.8703e+00   8.9737e+00   2.1924e+00   6.3734e-01   5.7208e-03   2.1046e+04   1.2817e+05
  1.1167e+01   1.1285e+01   2.4215e+00   6.3793e-01   4.5673e-03   3.3019e+04   1.9907e+05
  1.4059e+01   1.4204e+01   2.6516e+00   6.3834e-01   3.6632e-03   5.1328e+04   3.0502e+05
  1.7699e+01   1.7892e+01   2.8825e+00   6.3561e-01   2.9184e-03   8.0869e+04   4.7692e+05
  2.2281e+01   2.2503e+01   3.1117e+00   6.3626e-01   2.3859e-03   1.2099e+05   7.2703e+05
  2.8050e+01   2.8321e+01   3.3416e+00   6.3540e-01   1.9668e-03   1.7806e+05   1.0803e+06
  3.5313e+01   3.5596e+01   3.5703e+00   6.3677e-01   1.6424e-03   2.5535e+05   1.5651e+06
  4.4457e+01   4.4782e+01   3.7998e+00   6.3572e-01   1.4139e-03   3.4452e+05   2.0911e+06
  5.5968e+01   5.6430e+01   4.0310e+00   6.3577e-01   1.1959e-03   4.8158e+05   2.8926e+06
  7.0460e+01   7.0999e+01   4.2607e+00   6.3617e-01   1.0285e-03   6.5108e+05   3.9124e+06
  8.8703e+01   8.9531e+01   4.4926e+00   6.3811e-01   8.7552e-04   8.9855e+05   5.4016e+06
  1.1167e+02   1.1270e+02   4.7227e+00   6.4168e-01   7.3732e-04   1.2669e+06   7.6148e+06
  1.4059e+02   1.4201e+02   4.9539e+00   6.4237e-01   6.0918e-04   1.8560e+06   1.1145e+07
  1.7699e+02   1.7700e+02   5.1741e+00   6.3730e-01   5.6322e-04   2.1713e+06   1.2956e+07
  2.2281e+02   2.1260e+02   5.3582e+00   6.3066e-01   9.6043e-04   7.4670e+05   4.6914e+06
