## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.8050e+00   2.8327e+00   1.0393e+00   6.5090e-04   7.0628e-04   6.4719e+04   3.7021e+05
  3.5313e+00   3.5684e+00   1.2703e+00   1.2335e-04   5.6940e-04   9.9575e+04   5.7226e+05
  4.4457e+00   4.4923e+00   1.5005e+00   1.5491e-04   4.5600e-04   1.5526e+05   8.9184e+05
  5.5968e+00   5.6557e+00   1.7308e+00   7.4699e-05   3.6518e-04   2.4209e+05   1.3930e+06
  7.0460e+00   7.1216e+00   1.9612e+00   1.1195e-03   2.9158e-04   3.7972e+05   2.1805e+06
  8.8703e+00   8.9693e+00   2.1919e+00   6.0939e-04   2.3251e-04   5.9714e+05   3.4551e+06
  1.1167e+01   1.1283e+01   2.4214e+00   6.1332e-04   1.8456e-04   9.4773e+05   5.4903e+06
  1.4059e+01   1.4207e+01   2.6518e+00   8.3455e-04   1.4796e-04   1.4746e+06   8.5568e+06
  1.7699e+01   1.7892e+01   2.8824e+00   7.5238e-04   1.1789e-04   2.3230e+06   1.3435e+07
  2.2281e+01   2.2513e+01   3.1122e+00   6.7562e-04   9.3913e-05   3.6604e+06   2.1234e+07
  2.8050e+01   2.8357e+01   3.3429e+00   6.5496e-04   7.5081e-05   5.7269e+06   3.3193e+07
  3.5313e+01   3.5692e+01   3.5730e+00   6.3954e-04   5.9873e-05   9.0057e+06   5.2132e+07
  4.4457e+01   4.4925e+01   3.8030e+00   6.7441e-04   4.7839e-05   1.4106e+07   8.1456e+07
  5.5968e+01   5.6550e+01   4.0331e+00   5.4249e-04   3.8372e-05   2.1926e+07   1.2642e+08
  7.0460e+01   7.1193e+01   4.2634e+00   5.4276e-04   3.0914e-05   3.3781e+07   1.9443e+08
  8.8703e+01   8.9635e+01   4.4937e+00   2.9807e-04   2.4915e-05   5.2006e+07   2.9854e+08
  1.1167e+02   1.1284e+02   4.7240e+00   7.9490e-05   2.0024e-05   8.0517e+07   4.5914e+08
  1.4059e+02   1.4204e+02   4.9541e+00  -1.7081e-04   1.6130e-05   1.2409e+08   7.0468e+08
  1.7699e+02   1.7875e+02   5.1840e+00  -4.1175e-04   1.3093e-05   1.8832e+08   1.0685e+09
  2.2281e+02   2.2446e+02   5.4117e+00  -3.2309e-04   1.0981e-05   2.6774e+08   1.5130e+09
