## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.8050e+00   2.8334e+00   1.0396e+00   4.8598e-04   8.3355e-04   4.6953e+04   2.6437e+05
  3.5313e+00   3.5685e+00   1.2703e+00  -1.9317e-04   6.6878e-04   7.2938e+04   4.1011e+05
  4.4457e+00   4.4932e+00   1.5007e+00  -7.9926e-04   5.3623e-04   1.1345e+05   6.3784e+05
  5.5968e+00   5.6558e+00   1.7308e+00  -1.3487e-04   4.2677e-04   1.7912e+05   1.0038e+06
  7.0460e+00   7.1208e+00   1.9611e+00   1.5157e-04   3.4208e-04   2.7878e+05   1.5679e+06
  8.8703e+00   8.9670e+00   2.1916e+00   3.8074e-05   2.7227e-04   4.4007e+05   2.4754e+06
  1.1167e+01   1.1286e+01   2.4217e+00  -2.9113e-04   2.1724e-04   6.9124e+05   3.9079e+06
  1.4059e+01   1.4207e+01   2.6518e+00   5.8990e-05   1.7406e-04   1.0768e+06   6.0754e+06
  1.7699e+01   1.7887e+01   2.8821e+00  -4.2323e-05   1.3951e-04   1.6761e+06   9.4930e+06
  2.2281e+01   2.2516e+01   3.1122e+00   8.0483e-05   1.1119e-04   2.6387e+06   1.4895e+07
  2.8050e+01   2.8348e+01   3.3426e+00  -1.5123e-04   8.9200e-05   4.1001e+06   2.3138e+07
  3.5313e+01   3.5678e+01   3.5725e+00  -2.7211e-04   7.1752e-05   6.3366e+06   3.5784e+07
  4.4457e+01   4.4909e+01   3.8026e+00  -3.4235e-04   5.7899e-05   9.7316e+06   5.4932e+07
  5.5968e+01   5.6525e+01   4.0327e+00  -1.3667e-04   4.6981e-05   1.4780e+07   8.3450e+07
  7.0460e+01   7.1154e+01   4.2628e+00  -8.2597e-05   3.8290e-05   2.2251e+07   1.2552e+08
  8.8703e+01   8.9546e+01   4.4927e+00  -3.9671e-05   3.1386e-05   3.3117e+07   1.8596e+08
  1.1167e+02   1.1269e+02   4.7226e+00  -1.5758e-04   2.5939e-05   4.8487e+07   2.7142e+08
  1.4059e+02   1.4189e+02   4.9531e+00  -1.9272e-04   2.1548e-05   7.0260e+07   3.9266e+08
  1.7699e+02   1.7862e+02   5.1832e+00  -4.2137e-04   1.7875e-05   1.0210e+08   5.6714e+08
  2.2281e+02   2.2474e+02   5.4129e+00  -3.7431e-04   1.4885e-05   1.4724e+08   8.2034e+08
