## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr       gamT         gamX        sigma        weight       npairs   
  2.8050e+00   2.8428e+00   1.0429e+00  -2.5555e-03   9.7682e-04   4.1305e-03   1.8958e+03   8.4360e+03
  3.5313e+00   3.5703e+00   1.2708e+00   2.9225e-03  -5.8414e-03   3.3320e-03   2.9134e+03   1.2949e+04
  4.4457e+00   4.4897e+00   1.4999e+00  -2.8048e-03  -2.9694e-03   2.6896e-03   4.4714e+03   1.9940e+04
  5.5968e+00   5.6600e+00   1.7315e+00   2.0038e-03  -8.8153e-04   2.1832e-03   6.7861e+03   3.0797e+04
  7.0460e+00   7.1167e+00   1.9605e+00  -1.0851e-03  -8.6514e-04   1.7474e-03   1.0593e+04   4.8440e+04
  8.8703e+00   8.9646e+00   2.1914e+00  -2.3668e-04  -7.1598e-04   1.4124e-03   1.6215e+04   7.3410e+04
  1.1167e+01   1.1284e+01   2.4214e+00  -9.4934e-04  -2.7768e-03   1.1606e-03   2.4015e+04   1.0786e+05
  1.4059e+01   1.4196e+01   2.6510e+00  -5.7109e-04  -1.4232e-03   9.4541e-04   3.6188e+04   1.6037e+05
  1.7699e+01   1.7865e+01   2.8809e+00  -2.4563e-04  -2.0582e-03   7.7915e-04   5.3281e+04   2.3339e+05
  2.2281e+01   2.2485e+01   3.1109e+00   6.0746e-04  -1.0721e-03   6.5231e-04   7.6015e+04   3.3462e+05
  2.8050e+01   2.8303e+01   3.3410e+00   5.0663e-04  -8.8796e-04   5.4430e-04   1.0918e+05   4.8740e+05
  3.5313e+01   3.5722e+01   3.5738e+00   7.3412e-04  -2.3796e-03   4.4421e-04   1.6392e+05   7.3177e+05
  4.4457e+01   4.4934e+01   3.8032e+00   2.3146e-03  -1.3248e-03   3.5181e-04   2.6134e+05   1.1478e+06
  5.5968e+01   5.6577e+01   4.0336e+00   1.7254e-03  -9.7279e-04   2.8293e-04   4.0406e+05   1.8005e+06
  7.0460e+01   7.1178e+01   4.2632e+00   1.7524e-07  -4.0574e-04   2.2609e-04   6.3278e+05   2.8444e+06
  8.8703e+01   8.9704e+01   4.4946e+00  -5.2633e-04   5.0844e-04   1.7801e-04   1.0207e+06   4.5559e+06
  1.1167e+02   1.1287e+02   4.7242e+00  -3.8702e-04   1.6049e-04   1.4050e-04   1.6385e+06   7.3605e+06
  1.4059e+02   1.4179e+02   4.9523e+00   1.7597e-04   7.5785e-04   1.1503e-04   2.4445e+06   1.1037e+07
  1.7699e+02   1.7876e+02   5.1840e+00   5.8633e-04  -7.5524e-04   9.5815e-05   3.5232e+06   1.5782e+07
  2.2281e+02   2.2434e+02   5.4111e+00  -2.4980e-04   3.2110e-05   8.2175e-05   4.7900e+06   2.1526e+07
