## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.8050e+00   2.8298e+00   1.0383e+00   6.2961e-01   5.0397e-03   2.6139e+04   2.6139e+04
  3.5313e+00   3.5699e+00   1.2706e+00   6.2264e-01   4.0322e-03   4.0832e+04   4.0832e+04
  4.4457e+00   4.4918e+00   1.5003e+00   6.1984e-01   3.2419e-03   6.3167e+04   6.3167e+04
  5.5968e+00   5.6546e+00   1.7306e+00   6.3429e-01   2.5887e-03   9.9070e+04   9.9070e+04
  7.0460e+00   7.1183e+00   1.9607e+00   6.3759e-01   2.0876e-03   1.5233e+05   1.5233e+05
  8.8703e+00   8.9625e+00   2.1911e+00   6.3573e-01   1.6736e-03   2.3703e+05   2.3703e+05
  1.1167e+01   1.1273e+01   2.4204e+00   6.3646e-01   1.3683e-03   3.5458e+05   3.5458e+05
  1.4059e+01   1.4196e+01   2.6510e+00   6.3973e-01   1.1203e-03   5.2892e+05   5.2892e+05
  1.7699e+01   1.7865e+01   2.8808e+00   6.3741e-01   9.1709e-04   7.8935e+05   7.8935e+05
  2.2281e+01   2.2481e+01   3.1107e+00   6.3864e-01   7.5886e-04   1.1528e+06   1.1528e+06
  2.8050e+01   2.8319e+01   3.3415e+00   6.3871e-01   6.2817e-04   1.6824e+06   1.6824e+06
  3.5313e+01   3.5639e+01   3.5714e+00   6.4332e-01   5.1924e-04   2.4624e+06   2.4624e+06
  4.4457e+01   4.4896e+01   3.8023e+00   6.4569e-01   4.2572e-04   3.6631e+06   3.6631e+06
  5.5968e+01   5.6447e+01   4.0313e+00   6.3978e-01   3.5489e-04   5.2712e+06   5.2712e+06
  7.0460e+01   7.1056e+01   4.2615e+00   6.4050e-01   2.9944e-04   7.4042e+06   7.4042e+06
  8.8703e+01   8.8930e+01   4.4858e+00   6.4668e-01   2.7001e-04   9.1061e+06   9.1061e+06
  1.1167e+02   1.1231e+02   4.7192e+00   6.5025e-01   2.6926e-04   9.1571e+06   9.1571e+06
  1.4059e+02   1.4218e+02   4.9549e+00   6.3856e-01   2.3924e-04   1.1599e+07   1.1599e+07
  1.7699e+02   1.7544e+02   5.1653e+00   6.3645e-01   2.1322e-04   1.4603e+07   1.4603e+07
  2.2281e+02   2.1804e+02   5.3823e+00   6.3322e-01   3.7587e-04   4.6992e+06   4.6992e+06
