## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.8050e+00   2.8328e+00   1.0393e+00   1.7716e-03   1.5881e-04   1.2927e+06   1.2927e+06
  3.5313e+00   3.5682e+00   1.2702e+00   2.1682e-03   1.2731e-04   2.0113e+06   2.0113e+06
  4.4457e+00   4.4921e+00   1.5004e+00   1.7408e-03   1.0201e-04   3.1332e+06   3.1332e+06
  5.5968e+00   5.6557e+00   1.7307e+00   1.6622e-03   8.1657e-05   4.8893e+06   4.8893e+06
  7.0460e+00   7.1192e+00   1.9609e+00   1.7915e-03   6.5468e-05   7.6064e+06   7.6064e+06
  8.8703e+00   8.9653e+00   2.1914e+00   1.7964e-03   5.2333e-05   1.1904e+07   1.1904e+07
  1.1167e+01   1.1284e+01   2.4215e+00   1.8649e-03   4.1792e-05   1.8666e+07   1.8666e+07
  1.4059e+01   1.4205e+01   2.6516e+00   1.8955e-03   3.3557e-05   2.8951e+07   2.8951e+07
  1.7699e+01   1.7882e+01   2.8818e+00   1.9469e-03   2.7039e-05   4.4592e+07   4.4592e+07
  2.2281e+01   2.2508e+01   3.1119e+00   1.9481e-03   2.1800e-05   6.8603e+07   6.8603e+07
  2.8050e+01   2.8331e+01   3.3419e+00   1.8889e-03   1.7714e-05   1.0390e+08   1.0390e+08
  3.5313e+01   3.5660e+01   3.5720e+00   1.8183e-03   1.4449e-05   1.5615e+08   1.5615e+08
  4.4457e+01   4.4880e+01   3.8020e+00   1.7207e-03   1.1856e-05   2.3193e+08   2.3193e+08
  5.5968e+01   5.6475e+01   4.0318e+00   1.6503e-03   9.8216e-06   3.3797e+08   3.3797e+08
  7.0460e+01   7.1071e+01   4.2617e+00   1.4587e-03   8.2376e-06   4.8043e+08   4.8043e+08
  8.8703e+01   8.9453e+01   4.4917e+00   1.2498e-03   6.9696e-06   6.7114e+08   6.7114e+08
  1.1167e+02   1.1272e+02   4.7229e+00   9.8727e-04   5.8541e-06   9.5128e+08   9.5128e+08
  1.4059e+02   1.4216e+02   4.9550e+00   9.1450e-04   4.7159e-06   1.4659e+09   1.4659e+09
  1.7699e+02   1.7874e+02   5.1839e+00   9.0768e-04   3.7657e-06   2.2990e+09   2.2990e+09
  2.2281e+02   2.2382e+02   5.4088e+00   5.9183e-04   3.2983e-06   2.9968e+09   2.9968e+09
