## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.8050e+00   2.8331e+00   1.0394e+00  -9.0858e-04   1.1653e-04   2.4187e+06   2.4187e+06
  3.5313e+00   3.5685e+00   1.2703e+00  -8.8164e-04   9.3336e-05   3.7705e+06   3.7705e+06
  4.4457e+00   4.4927e+00   1.5006e+00  -8.5052e-04   7.4543e-05   5.9113e+06   5.9113e+06
  5.5968e+00   5.6562e+00   1.7308e+00  -1.0250e-03   5.9502e-05   9.2775e+06   9.2775e+06
  7.0460e+00   7.1214e+00   1.9612e+00  -1.0129e-03   4.7469e-05   1.4577e+07   1.4577e+07
  8.8703e+00   8.9665e+00   2.1916e+00  -9.5980e-04   3.7782e-05   2.3010e+07   2.3010e+07
  1.1167e+01   1.1286e+01   2.4216e+00  -8.5659e-04   3.0094e-05   3.6270e+07   3.6270e+07
  1.4059e+01   1.4208e+01   2.6518e+00  -8.5991e-04   2.4051e-05   5.6783e+07   5.6783e+07
  1.7699e+01   1.7890e+01   2.8822e+00  -7.9065e-04   1.9201e-05   8.9091e+07   8.9091e+07
  2.2281e+01   2.2516e+01   3.1123e+00  -7.8934e-04   1.5328e-05   1.3980e+08   1.3980e+08
  2.8050e+01   2.8348e+01   3.3426e+00  -8.0704e-04   1.2293e-05   2.1735e+08   2.1735e+08
  3.5313e+01   3.5683e+01   3.5727e+00  -7.9323e-04   9.8653e-06   3.3750e+08   3.3750e+08
  4.4457e+01   4.4921e+01   3.8029e+00  -7.6584e-04   7.9267e-06   5.2276e+08   5.2276e+08
  5.5968e+01   5.6550e+01   4.0331e+00  -7.7290e-04   6.3766e-06   8.0782e+08   8.0782e+08
  7.0460e+01   7.1200e+01   4.2635e+00  -6.3003e-04   5.1345e-06   1.2459e+09   1.2459e+09
  8.8703e+01   8.9625e+01   4.4936e+00  -4.8364e-04   4.1338e-06   1.9222e+09   1.9222e+09
  1.1167e+02   1.1286e+02   4.7242e+00  -3.5908e-04   3.3212e-06   2.9779e+09   2.9779e+09
  1.4059e+02   1.4209e+02   4.9544e+00  -2.3595e-04   2.6547e-06   4.6608e+09   4.6608e+09
  1.7699e+02   1.7879e+02   5.1842e+00  -1.7943e-04   2.1379e-06   7.1864e+09   7.1864e+09
  2.2281e+02   2.2474e+02   5.4129e+00  -1.2074e-04   1.7758e-06   1.0416e+10   1.0416e+10
