## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr       gamT         gamX        sigma        weight       npairs   
  2.8050e+00   2.8335e+00   1.0396e+00   2.4208e-05   6.5883e-06   1.0986e-04   2.7053e+06   2.7053e+06
  3.5313e+00   3.5692e+00   1.2705e+00   1.2126e-04   1.9550e-04   8.7584e-05   4.2564e+06   4.2564e+06
  4.4457e+00   4.4932e+00   1.5007e+00   6.5503e-05  -2.5245e-05   6.9669e-05   6.7269e+06   6.7269e+06
  5.5968e+00   5.6569e+00   1.7310e+00  -1.3828e-05   3.4909e-05   5.5407e-05   1.0636e+07   1.0636e+07
  7.0460e+00   7.1221e+00   1.9613e+00  -7.2837e-05   4.2514e-05   4.4053e-05   1.6824e+07   1.6824e+07
  8.8703e+00   8.9663e+00   2.1915e+00   4.5273e-06  -1.8988e-05   3.5039e-05   2.6595e+07   2.6595e+07
  1.1167e+01   1.1287e+01   2.4217e+00   1.9325e-05   7.2141e-05   2.7843e-05   4.2116e+07   4.2116e+07
  1.4059e+01   1.4211e+01   2.6520e+00   2.0893e-05   6.6505e-06   2.2149e-05   6.6557e+07   6.6557e+07
  1.7699e+01   1.7891e+01   2.8823e+00  -1.2620e-05   2.7596e-05   1.7625e-05   1.0511e+08   1.0511e+08
  2.2281e+01   2.2521e+01   3.1124e+00  -2.3349e-05   2.8824e-05   1.4027e-05   1.6594e+08   1.6594e+08
  2.8050e+01   2.8354e+01   3.3428e+00   2.0096e-05  -2.9401e-05   1.1175e-05   2.6147e+08   2.6147e+08
  3.5313e+01   3.5693e+01   3.5730e+00   1.4277e-05  -1.2196e-05   8.9051e-06   4.1173e+08   4.1173e+08
  4.4457e+01   4.4932e+01   3.8032e+00   3.2906e-05   2.0299e-05   7.1069e-06   6.4644e+08   6.4644e+08
  5.5968e+01   5.6561e+01   4.0333e+00   1.0001e-04   9.8694e-06   5.6873e-06   1.0094e+09   1.0094e+09
  7.0460e+01   7.1199e+01   4.2635e+00   1.1846e-04  -1.3493e-05   4.5629e-06   1.5682e+09   1.5682e+09
  8.8703e+01   8.9607e+01   4.4934e+00   1.6885e-04  -5.6035e-05   3.6843e-06   2.4053e+09   2.4053e+09
  1.1167e+02   1.1278e+02   4.7234e+00   3.4907e-04  -1.0594e-04   2.9977e-06   3.6334e+09   3.6334e+09
  1.4059e+02   1.4194e+02   4.9534e+00   4.9773e-04  -1.4482e-04   2.4591e-06   5.3992e+09   5.3992e+09
  1.7699e+02   1.7868e+02   5.1836e+00   4.5071e-04  -1.7693e-04   2.0280e-06   7.9391e+09   7.9391e+09
  2.2281e+02   2.2460e+02   5.4123e+00   3.4884e-04  -1.9596e-04   1.6994e-06   1.1306e+10   1.1306e+10
