## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.8050e+00   2.8332e+00   1.0395e+00   6.4718e-01   1.3492e-03   3.4274e+05   3.4274e+05
  3.5313e+00   3.5680e+00   1.2701e+00   6.4693e-01   1.0789e-03   5.3599e+05   5.3599e+05
  4.4457e+00   4.4917e+00   1.5004e+00   6.4750e-01   8.6340e-04   8.3692e+05   8.3692e+05
  5.5968e+00   5.6557e+00   1.7308e+00   6.4741e-01   6.8875e-04   1.3152e+06   1.3152e+06
  7.0460e+00   7.1207e+00   1.9611e+00   6.4737e-01   5.5002e-04   2.0623e+06   2.0623e+06
  8.8703e+00   8.9671e+00   2.1917e+00   6.4742e-01   4.3917e-04   3.2348e+06   3.2348e+06
  1.1167e+01   1.1284e+01   2.4215e+00   6.4833e-01   3.4888e-04   5.1257e+06   5.1257e+06
  1.4059e+01   1.4207e+01   2.6518e+00   6.4777e-01   2.7907e-04   8.0110e+06   8.0110e+06
  1.7699e+01   1.7888e+01   2.8822e+00   6.4735e-01   2.2318e-04   1.2525e+07   1.2525e+07
  2.2281e+01   2.2513e+01   3.1122e+00   6.4694e-01   1.7856e-04   1.9568e+07   1.9568e+07
  2.8050e+01   2.8350e+01   3.3426e+00   6.4690e-01   1.4308e-04   3.0474e+07   3.0474e+07
  3.5313e+01   3.5681e+01   3.5727e+00   6.4653e-01   1.1470e-04   4.7418e+07   4.7418e+07
  4.4457e+01   4.4914e+01   3.8028e+00   6.4655e-01   9.2344e-05   7.3162e+07   7.3162e+07
  5.5968e+01   5.6530e+01   4.0328e+00   6.4670e-01   7.4755e-05   1.1164e+08   1.1164e+08
  7.0460e+01   7.1167e+01   4.2630e+00   6.4609e-01   6.0734e-05   1.6913e+08   1.6913e+08
  8.8703e+01   8.9579e+01   4.4931e+00   6.4531e-01   4.9509e-05   2.5452e+08   2.5452e+08
  1.1167e+02   1.1275e+02   4.7232e+00   6.4394e-01   4.0494e-05   3.8048e+08   3.8048e+08
  1.4059e+02   1.4187e+02   4.9529e+00   6.4238e-01   3.3456e-05   5.5739e+08   5.5739e+08
  1.7699e+02   1.7852e+02   5.1827e+00   6.4094e-01   2.8157e-05   7.8694e+08   7.8694e+08
  2.2281e+02   2.2482e+02   5.4133e+00   6.3972e-01   2.3599e-05   1.1202e+09   1.1202e+09
