## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.8050e+00   2.8323e+00   1.0392e+00  -6.8242e-04   2.0760e-04   7.5808e+05   7.5808e+05
  3.5313e+00   3.5687e+00   1.2703e+00  -9.9491e-04   1.6648e-04   1.1787e+06   1.1787e+06
  4.4457e+00   4.4923e+00   1.5005e+00  -9.8710e-04   1.3319e-04   1.8417e+06   1.8417e+06
  5.5968e+00   5.6554e+00   1.7307e+00  -1.1082e-03   1.0661e-04   2.8745e+06   2.8745e+06
  7.0460e+00   7.1204e+00   1.9611e+00  -1.1181e-03   8.5272e-05   4.4931e+06   4.4931e+06
  8.8703e+00   8.9689e+00   2.1918e+00  -9.5325e-04   6.7778e-05   7.1118e+06   7.1118e+06
  1.1167e+01   1.1285e+01   2.4215e+00  -9.6934e-04   5.3737e-05   1.1314e+07   1.1314e+07
  1.4059e+01   1.4206e+01   2.6517e+00  -1.0461e-03   4.3122e-05   1.7570e+07   1.7570e+07
  1.7699e+01   1.7891e+01   2.8824e+00  -1.0915e-03   3.4520e-05   2.7416e+07   2.7416e+07
  2.2281e+01   2.2511e+01   3.1120e+00  -1.0282e-03   2.7532e-05   4.3101e+07   4.3101e+07
  2.8050e+01   2.8353e+01   3.3427e+00  -1.0357e-03   2.2137e-05   6.6670e+07   6.6670e+07
  3.5313e+01   3.5684e+01   3.5727e+00  -1.0070e-03   1.7747e-05   1.0373e+08   1.0373e+08
  4.4457e+01   4.4930e+01   3.8031e+00  -1.0377e-03   1.4180e-05   1.6248e+08   1.6248e+08
  5.5968e+01   5.6570e+01   4.0335e+00  -9.5001e-04   1.1292e-05   2.5621e+08   2.5621e+08
  7.0460e+01   7.1230e+01   4.2639e+00  -8.7980e-04   8.9916e-06   4.0410e+08   4.0410e+08
  8.8703e+01   8.9693e+01   4.4944e+00  -7.8279e-04   7.1143e-06   6.4550e+08   6.4550e+08
  1.1167e+02   1.1303e+02   4.7257e+00  -6.4011e-04   5.5485e-06   1.0612e+09   1.0612e+09
  1.4059e+02   1.4233e+02   4.9562e+00  -3.9321e-04   4.2450e-06   1.8131e+09   1.8131e+09
  1.7699e+02   1.7906e+02   5.1857e+00  -2.6862e-04   3.2816e-06   3.0338e+09   3.0338e+09
  2.2281e+02   2.2468e+02   5.4127e+00  -1.7236e-04   2.6550e-06   4.6349e+09   4.6349e+09
