## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.8050e+00   2.8328e+00   1.0394e+00  -1.5065e-03   1.7720e-04   1.0439e+06   1.0439e+06
  3.5313e+00   3.5683e+00   1.2702e+00  -9.6472e-04   1.4179e-04   1.6303e+06   1.6303e+06
  4.4457e+00   4.4925e+00   1.5005e+00  -1.2001e-03   1.1321e-04   2.5572e+06   2.5572e+06
  5.5968e+00   5.6560e+00   1.7308e+00  -1.1657e-03   9.0447e-05   4.0066e+06   4.0066e+06
  7.0460e+00   7.1205e+00   1.9611e+00  -1.0554e-03   7.2198e-05   6.2881e+06   6.2881e+06
  8.8703e+00   8.9670e+00   2.1916e+00  -1.2483e-03   5.7571e-05   9.8893e+06   9.8893e+06
  1.1167e+01   1.1284e+01   2.4215e+00  -1.2258e-03   4.5847e-05   1.5594e+07   1.5594e+07
  1.4059e+01   1.4207e+01   2.6518e+00  -1.1924e-03   3.6718e-05   2.4311e+07   2.4311e+07
  1.7699e+01   1.7887e+01   2.8821e+00  -1.1855e-03   2.9405e-05   3.7909e+07   3.7909e+07
  2.2281e+01   2.2516e+01   3.1122e+00  -1.1905e-03   2.3502e-05   5.9341e+07   5.9341e+07
  2.8050e+01   2.8350e+01   3.3426e+00  -1.1801e-03   1.8818e-05   9.2562e+07   9.2562e+07
  3.5313e+01   3.5689e+01   3.5728e+00  -1.1430e-03   1.5078e-05   1.4417e+08   1.4417e+08
  4.4457e+01   4.4933e+01   3.8032e+00  -1.0578e-03   1.2060e-05   2.2535e+08   2.2535e+08
  5.5968e+01   5.6570e+01   4.0335e+00  -9.4068e-04   9.6262e-06   3.5372e+08   3.5372e+08
  7.0460e+01   7.1214e+01   4.2637e+00  -7.7274e-04   7.6919e-06   5.5400e+08   5.5400e+08
  8.8703e+01   8.9653e+01   4.4939e+00  -6.3243e-04   6.1511e-06   8.6630e+08   8.6630e+08
  1.1167e+02   1.1287e+02   4.7242e+00  -5.0356e-04   4.9173e-06   1.3556e+09   1.3556e+09
  1.4059e+02   1.4206e+02   4.9542e+00  -4.9314e-04   3.9424e-06   2.1089e+09   2.1089e+09
  1.7699e+02   1.7887e+02   5.1847e+00  -4.0701e-04   3.1666e-06   3.2687e+09   3.2687e+09
  2.2281e+02   2.2486e+02   5.4134e+00  -4.4853e-04   2.5877e-06   4.8949e+09   4.8949e+09
