## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr       gamT         gamX        sigma        weight       npairs   
  2.8050e+00   2.8322e+00   1.0392e+00   1.4759e-03  -2.8088e-05   5.0428e-04   1.2730e+05   1.2730e+05
  3.5313e+00   3.5678e+00   1.2701e+00  -3.2262e-04  -8.2714e-04   4.0529e-04   1.9708e+05   1.9708e+05
  4.4457e+00   4.4918e+00   1.5004e+00  -2.3493e-04   2.0310e-04   3.2487e-04   3.0673e+05   3.0673e+05
  5.5968e+00   5.6548e+00   1.7306e+00   1.0719e-04   1.4108e-04   2.6108e-04   4.7493e+05   4.7493e+05
  7.0460e+00   7.1170e+00   1.9606e+00   5.8703e-05  -1.6856e-04   2.0935e-04   7.3869e+05   7.3869e+05
  8.8703e+00   8.9650e+00   2.1914e+00  -4.6324e-05   2.2635e-04   1.6799e-04   1.1472e+06   1.1472e+06
  1.1167e+01   1.1281e+01   2.4212e+00   1.9125e-04   9.5013e-05   1.3414e-04   1.7992e+06   1.7992e+06
  1.4059e+01   1.4200e+01   2.6513e+00   1.7253e-04   1.1987e-04   1.0831e-04   2.7596e+06   2.7596e+06
  1.7699e+01   1.7881e+01   2.8818e+00   7.6043e-05  -1.1602e-04   8.7693e-05   4.2098e+06   4.2098e+06
  2.2281e+01   2.2497e+01   3.1114e+00   7.1392e-05   1.4607e-04   7.1115e-05   6.4014e+06   6.4014e+06
  2.8050e+01   2.8328e+01   3.3419e+00   9.8177e-05   1.4499e-04   5.8164e-05   9.5693e+06   9.5693e+06
  3.5313e+01   3.5640e+01   3.5715e+00   3.3297e-04   7.7967e-05   4.7967e-05   1.4070e+07   1.4070e+07
  4.4457e+01   4.4834e+01   3.8010e+00   3.9289e-04   2.7888e-04   4.0288e-05   1.9945e+07   1.9945e+07
  5.5968e+01   5.6393e+01   4.0303e+00   4.5398e-04   4.2474e-04   3.4476e-05   2.7236e+07   2.7236e+07
  7.0460e+01   7.0935e+01   4.2598e+00   4.9748e-04   3.8430e-04   3.0181e-05   3.5540e+07   3.5540e+07
  8.8703e+01   8.9261e+01   4.4896e+00   3.7731e-04   3.3109e-04   2.6955e-05   4.4556e+07   4.4556e+07
  1.1167e+02   1.1261e+02   4.7220e+00   2.0781e-04   2.3670e-04   2.3646e-05   5.7902e+07   5.7902e+07
  1.4059e+02   1.4239e+02   4.9566e+00  -1.2380e-04  -2.4949e-04   1.8918e-05   9.0455e+07   9.0455e+07
  1.7699e+02   1.7990e+02   5.1905e+00  -1.4322e-04  -3.2870e-04   1.3492e-05   1.7784e+08   1.7784e+08
  2.2281e+02   2.2606e+02   5.4188e+00  -3.9775e-04  -2.3424e-04   9.4184e-06   3.6495e+08   3.6495e+08
