## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.8050e+00   2.8193e+00   1.0346e+00   6.5528e-01   4.0058e-02   4.5401e+02   3.2140e+03
  3.5313e+00   3.5647e+00   1.2692e+00   6.4527e-01   3.2507e-02   6.8941e+02   4.8750e+03
  4.4457e+00   4.4758e+00   1.4970e+00   6.4549e-01   2.6926e-02   1.0048e+03   7.3940e+03
  5.5968e+00   5.6472e+00   1.7294e+00   6.5025e-01   2.2390e-02   1.4532e+03   1.0950e+04
  7.0460e+00   7.1257e+00   1.9618e+00   6.3936e-01   1.7809e-02   2.2969e+03   1.7198e+04
  8.8703e+00   8.9585e+00   2.1907e+00   6.5150e-01   1.4474e-02   3.4774e+03   2.6766e+04
  1.1167e+01   1.1279e+01   2.4210e+00   6.5866e-01   1.1452e-02   5.5546e+03   4.1462e+04
  1.4059e+01   1.4190e+01   2.6506e+00   6.5242e-01   9.2488e-03   8.5166e+03   6.4391e+04
  1.7699e+01   1.7884e+01   2.8820e+00   6.5594e-01   7.4491e-03   1.3129e+04   9.7709e+04
  2.2281e+01   2.2523e+01   3.1126e+00   6.4959e-01   6.1430e-03   1.9305e+04   1.4599e+05
  2.8050e+01   2.8250e+01   3.3391e+00   6.4635e-01   5.0130e-03   2.8990e+04   2.1922e+05
  3.5313e+01   3.5632e+01   3.5713e+00   6.5019e-01   4.3799e-03   3.7975e+04   2.9984e+05
  4.4457e+01   4.4853e+01   3.8014e+00   6.5079e-01   3.7517e-03   5.1760e+04   4.0271e+05
  5.5968e+01   5.6303e+01   4.0288e+00   6.5482e-01   3.2301e-03   6.9822e+04   5.3305e+05
  7.0460e+01   7.0811e+01   4.2581e+00   6.5879e-01   2.9573e-03   8.3303e+04   6.3855e+05
  8.8703e+01   8.9662e+01   4.4940e+00   6.5246e-01   2.9129e-03   8.5860e+04   7.2586e+05
  1.1167e+02   1.1357e+02   4.7304e+00   6.4500e-01   1.9974e-03   1.8261e+05   1.5772e+06
  1.4059e+02   1.4307e+02   4.9614e+00   6.4722e-01   1.3341e-03   4.0933e+05   3.3490e+06
  1.7699e+02   1.7872e+02   5.1838e+00   6.5138e-01   9.5314e-04   8.0191e+05   6.1762e+06
  2.2281e+02   2.2405e+02   5.4099e+00   6.5501e-01   8.2513e-04   1.0700e+06   7.7806e+06
