## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log', 'tot': 542132042.7115717}
#   r_nom       meanr       meanlogr        xi        sigma_xi        DD           RR         npairs   
  2.8050e+00   2.8324e+00   1.0392e+00   2.4321e-02   3.9350e-03   2.7940e+04   2.7276e+04   1.6876e+05
  3.5313e+00   3.5683e+00   1.2702e+00   1.6329e-02   3.1705e-03   4.2702e+04   4.2016e+04   2.6015e+05
  4.4457e+00   4.4913e+00   1.5003e+00   1.5928e-02   2.5485e-03   6.6065e+04   6.5029e+04   4.0128e+05
  5.5968e+00   5.6543e+00   1.7305e+00   7.1213e-03   2.0445e-03   1.0176e+05   1.0104e+05   6.1852e+05
  7.0460e+00   7.1174e+00   1.9606e+00   8.7958e-04   1.6463e-03   1.5596e+05   1.5583e+05   9.4692e+05
  8.8703e+00   8.9678e+00   2.1917e+00  -7.0053e-03   1.3172e-03   2.4173e+05   2.4343e+05   1.4716e+06
  1.1167e+01   1.1277e+01   2.4209e+00  -1.6537e-02   1.0454e-03   3.8009e+05   3.8648e+05   2.3265e+06
  1.4059e+01   1.4202e+01   2.6515e+00  -2.4365e-02   8.4379e-04   5.7875e+05   5.9320e+05   3.5739e+06
  1.7699e+01   1.7886e+01   2.8821e+00  -1.9686e-02   6.7806e-04   9.0054e+05   9.1863e+05   5.5384e+06
  2.2281e+01   2.2503e+01   3.1117e+00  -1.9591e-02   5.4326e-04   1.4030e+06   1.4311e+06   8.6228e+06
  2.8050e+01   2.8345e+01   3.3425e+00  -1.9799e-02   4.4093e-04   2.1294e+06   2.1724e+06   1.3073e+07
  3.5313e+01   3.5676e+01   3.5725e+00  -1.6521e-02   3.5568e-04   3.2834e+06   3.3386e+06   2.0113e+07
  4.4457e+01   4.4910e+01   3.8027e+00  -7.6324e-03   2.8819e-04   5.0466e+06   5.0854e+06   3.0647e+07
  5.5968e+01   5.6538e+01   4.0329e+00  -9.3397e-04   2.3405e-04   7.7027e+06   7.7099e+06   4.6526e+07
  7.0460e+01   7.1177e+01   4.2632e+00   1.4133e-02   1.9039e-04   1.1816e+07   1.1651e+07   7.0890e+07
  8.8703e+01   8.9529e+01   4.4926e+00   1.9238e-02   1.5594e-04   1.7703e+07   1.7369e+07   1.0651e+08
  1.1167e+02   1.1270e+02   4.7227e+00  -1.0318e-03   1.2846e-04   2.5569e+07   2.5595e+07   1.5598e+08
  1.4059e+02   1.4195e+02   4.9535e+00  -1.3074e-03   1.0557e-04   3.7848e+07   3.7897e+07   2.2981e+08
  1.7699e+02   1.7872e+02   5.1838e+00   1.2909e-02   8.6980e-05   5.6547e+07   5.5826e+07   3.3655e+08
  2.2281e+02   2.2471e+02   5.4128e+00   4.8247e-03   7.2666e-05   8.0371e+07   7.9985e+07   4.7931e+08
