## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.8050e+00   2.8333e+00   1.0395e+00  -4.8482e-04   9.4071e-04   3.7582e+04   2.0261e+05
  3.5313e+00   3.5682e+00   1.2702e+00  -1.4392e-03   7.5435e-04   5.8444e+04   3.1374e+05
  4.4457e+00   4.4925e+00   1.5005e+00  -6.5036e-04   6.0356e-04   9.1295e+04   4.9104e+05
  5.5968e+00   5.6542e+00   1.7305e+00  -4.1793e-04   4.8520e-04   1.4127e+05   7.6309e+05
  7.0460e+00   7.1180e+00   1.9607e+00  -5.0695e-05   3.9035e-04   2.1827e+05   1.1911e+06
  8.8703e+00   8.9648e+00   2.1914e+00  -3.8174e-04   3.1076e-04   3.4438e+05   1.8690e+06
  1.1167e+01   1.1286e+01   2.4217e+00  -7.3706e-04   2.4770e-04   5.4205e+05   2.9372e+06
  1.4059e+01   1.4209e+01   2.6520e+00  -1.0534e-03   1.9772e-04   8.5075e+05   4.6210e+06
  1.7699e+01   1.7887e+01   2.8822e+00  -8.8996e-04   1.5783e-04   1.3352e+06   7.2597e+06
  2.2281e+01   2.2522e+01   3.1126e+00  -7.3228e-04   1.2636e-04   2.0828e+06   1.1376e+07
  2.8050e+01   2.8336e+01   3.3422e+00  -8.2395e-04   1.0146e-04   3.2310e+06   1.7676e+07
  3.5313e+01   3.5684e+01   3.5727e+00  -1.0507e-03   8.1753e-05   4.9760e+06   2.7278e+07
  4.4457e+01   4.4908e+01   3.8026e+00  -7.5594e-04   6.5931e-05   7.6509e+06   4.1916e+07
  5.5968e+01   5.6515e+01   4.0325e+00  -6.1898e-04   5.3803e-05   1.1489e+07   6.2884e+07
  7.0460e+01   7.1102e+01   4.2621e+00  -4.3826e-04   4.4300e-05   1.6946e+07   9.2674e+07
  8.8703e+01   8.9405e+01   4.4912e+00  -2.4694e-04   3.7475e-05   2.3682e+07   1.3078e+08
  1.1167e+02   1.1243e+02   4.7204e+00  -2.3518e-04   3.2603e-05   3.1288e+07   1.7452e+08
  1.4059e+02   1.4127e+02   4.9487e+00  -1.5559e-04   2.9585e-05   3.7996e+07   2.1576e+08
  1.7699e+02   1.7800e+02   5.1798e+00   7.7522e-05   2.7514e-05   4.3933e+07   2.5350e+08
  2.2281e+02   2.2419e+02   5.4104e+00   4.0346e-04   2.4972e-05   5.3331e+07   3.0220e+08
