## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.8050e+00   2.8307e+00   1.0386e+00  -1.9358e-03   1.3552e-03   1.7665e+04   8.7685e+04
  3.5313e+00   3.5655e+00   1.2694e+00  -4.3528e-04   1.1004e-03   2.6791e+04   1.3396e+05
  4.4457e+00   4.4901e+00   1.5000e+00  -5.8449e-04   8.9104e-04   4.0862e+04   2.0579e+05
  5.5968e+00   5.6528e+00   1.7303e+00   5.0927e-04   7.2590e-04   6.1568e+04   3.1497e+05
  7.0460e+00   7.1184e+00   1.9608e+00   7.4279e-04   5.7966e-04   9.6555e+04   4.8861e+05
  8.8703e+00   8.9687e+00   2.1918e+00  -1.0824e-04   4.6442e-04   1.5041e+05   7.5937e+05
  1.1167e+01   1.1281e+01   2.4212e+00  -6.7052e-04   3.7025e-04   2.3666e+05   1.1939e+06
  1.4059e+01   1.4191e+01   2.6507e+00   1.1402e-04   3.0148e-04   3.5693e+05   1.8053e+06
  1.7699e+01   1.7880e+01   2.8817e+00  -3.0976e-04   2.4478e-04   5.4145e+05   2.7393e+06
  2.2281e+01   2.2488e+01   3.1110e+00  -1.0902e-04   1.9926e-04   8.1713e+05   4.1592e+06
  2.8050e+01   2.8329e+01   3.3419e+00   9.1709e-05   1.6363e-04   1.2117e+06   6.2082e+06
  3.5313e+01   3.5660e+01   3.5721e+00  -2.5967e-04   1.3323e-04   1.8278e+06   9.3501e+06
  4.4457e+01   4.4899e+01   3.8024e+00  -2.9916e-04   1.0822e-04   2.7702e+06   1.4183e+07
  5.5968e+01   5.6523e+01   4.0327e+00  -5.0046e-04   8.7950e-05   4.1941e+06   2.1464e+07
  7.0460e+01   7.1097e+01   4.2621e+00  -5.4335e-04   7.2232e-05   6.2181e+06   3.1662e+07
  8.8703e+01   8.9444e+01   4.4916e+00  -2.4711e-04   6.1128e-05   8.6823e+06   4.4352e+07
  1.1167e+02   1.1265e+02   4.7223e+00  -2.7072e-04   5.1706e-05   1.2135e+07   6.2288e+07
  1.4059e+02   1.4150e+02   4.9503e+00  -2.7540e-04   4.4967e-05   1.6045e+07   8.2983e+07
  1.7699e+02   1.7809e+02   5.1802e+00  -4.1335e-05   4.0321e-05   1.9955e+07   1.0403e+08
  2.2281e+02   2.2442e+02   5.4114e+00  -6.3053e-06   3.5698e-05   2.5458e+07   1.3149e+08
