# 
# meanr   jkmean  jkerr
2.805000000000000160e+00 1.030692078445824666e+00 2.048155929726176976e-03
3.531299999999999883e+00 1.023932584644928978e+00 1.996970475039176653e-03
4.445700000000000429e+00 1.020031491868532036e+00 2.062616984755844766e-03
5.596799999999999997e+00 1.016681135108589373e+00 2.004688353896585343e-03
7.046000000000000263e+00 1.013530273375710555e+00 1.826924513112566277e-03
8.870300000000000296e+00 1.010231253605620383e+00 1.952834688940333031e-03
1.116699999999999982e+01 1.007784893545304428e+00 1.920186871650600381e-03
1.405899999999999928e+01 1.006165213649693468e+00 2.013564599196972227e-03
1.769900000000000162e+01 1.004160841387990333e+00 2.015759544614517326e-03
2.228099999999999881e+01 1.002605551242086834e+00 1.939562499859407698e-03
2.805000000000000071e+01 1.001606926623464178e+00 1.880136761693690676e-03
3.531300000000000239e+01 1.001089502424649336e+00 1.890358956864449189e-03
4.445700000000000074e+01 1.000354629678549490e+00 1.867710921584260584e-03
5.596800000000000352e+01 1.000745721029594248e+00 1.845700468191643906e-03
7.045999999999999375e+01 1.001886579902487417e+00 1.912853857746372359e-03
8.870300000000000296e+01 1.002600326772252748e+00 1.974083213534908680e-03
1.116700000000000017e+02 1.001828554105496760e+00 1.873884502818743813e-03
1.405900000000000034e+02 1.000321639067382806e+00 1.777761764571914125e-03
1.769900000000000091e+02 9.990605602594208046e-01 1.808491948993537143e-03
2.228100000000000023e+02 9.978171578559319466e-01 1.855898814813389860e-03
