# 
# meanr   jkmean  jkerr
2.805000000000000160e+00 1.060590026892634314e-03 1.141105026985669130e-04
3.531299999999999883e+00 9.584951397121232357e-04 1.006055047704275672e-04
4.445700000000000429e+00 5.872328665043307760e-04 9.540264253436415369e-05
5.596799999999999997e+00 4.703747779055814961e-04 6.558550473471017994e-05
7.046000000000000263e+00 3.380000010027791615e-04 6.433585187651916812e-05
8.870300000000000296e+00 2.662309245952175583e-04 4.973160913953744434e-05
1.116699999999999982e+01 2.632733578248545566e-04 4.000117404821917471e-05
1.405899999999999928e+01 2.229252467025243328e-04 3.781732894907923262e-05
1.769900000000000162e+01 1.259432253667982181e-04 3.070546940433303531e-05
2.228099999999999881e+01 1.249636724572444457e-04 2.232830191977187151e-05
2.805000000000000071e+01 1.441887528684852285e-04 2.028558684808730618e-05
3.531300000000000239e+01 9.634096784531042215e-05 1.861053470832592903e-05
4.445700000000000074e+01 6.345607123297963544e-05 1.732387357502240892e-05
5.596800000000000352e+01 5.287884649572057594e-05 1.357531210943291605e-05
7.045999999999999375e+01 6.612115571856305696e-05 1.420868343730706126e-05
8.870300000000000296e+01 4.425886531285437868e-05 1.497991091634220187e-05
1.116700000000000017e+02 3.904176135725552168e-05 1.249397437123820476e-05
1.405900000000000034e+02 2.406910136547031447e-05 1.239984341973241024e-05
1.769900000000000091e+02 2.846104775833721963e-05 1.483710829196804971e-05
2.228100000000000023e+02 1.009696424137346132e-05 1.456058877107342252e-05
